"age_group"	"sex"	"level"	"variable"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
50+	Men	Healthy Weight	"bmi"	1	0	25	2	23	       0.0473202	      -6.0121827	      -6.0121827	       0.0000000	      -6.0121827
50+	Men	Healthy Weight	"bmi"	2	1	25	4	21	       0.0117346	      -7.1490730	      -7.0203180	       0.7520183	      -7.0522468
50+	Men	Healthy Weight	"bmi"	3	2	25	6	19	       0.0092257	      -7.1321090	      -6.8745989	       0.6326473	      -6.9691959
50+	Men	Healthy Weight	"bmi"	4	3	25	8	17	       0.0053579	      -7.4180256	      -7.0317605	       0.9447568	      -7.0530990
50+	Men	Healthy Weight	"bmi"	5	4	25	10	15	       0.0044101	      -7.3551787	      -6.8401586	       0.9605317	      -6.8604856
20-49	Women	Healthy Weight	"bmi"	1	0	25	2	23	       0.0067616	      -7.9578560	      -7.9578560	       0.0000000	      -7.9578560
20-49	Women	Healthy Weight	"bmi"	2	1	25	4	21	       0.0044574	      -8.1170426	      -7.9882876	       0.3407791	      -8.0731656
20-49	Women	Healthy Weight	"bmi"	3	2	25	6	19	       0.0014435	      -8.9870418	      -8.7295318	       0.8447354	      -8.7695140
20-49	Women	Healthy Weight	"bmi"	4	3	25	8	17	       0.0010277	      -9.0692404	      -8.6829753	       0.8613087	      -8.7365469
20-49	Women	Healthy Weight	"bmi"	5	4	25	10	15	       0.0008497	      -9.0019468	      -8.4869266	       0.9123810	      -8.5320522
50+	Women	Healthy Weight	"bmi"	1	0	25	2	23	       0.0185202	      -6.9502609	      -6.9502609	       0.0000000	      -6.9502609
50+	Women	Healthy Weight	"bmi"	2	1	25	4	21	       0.0071613	      -7.6429195	      -7.5141645	       0.6133242	      -7.5639509
50+	Women	Healthy Weight	"bmi"	3	2	25	6	19	       0.0030921	      -8.2252598	      -7.9677497	       0.7905424	      -8.0216871
50+	Women	Healthy Weight	"bmi"	4	3	25	8	17	       0.0015703	      -8.6452989	      -8.2590338	       0.8730581	      -8.3080670
50+	Women	Healthy Weight	"bmi"	5	4	25	10	15	       0.0011897	      -8.6654129	      -8.1503928	       0.8892266	      -8.2074433
20-49	Men	Obese	"bmi"	1	0	25	2	23	       0.1229075	      -5.0576890	      -5.0576890	       0.0000000	      -5.0576890
20-49	Men	Obese	"bmi"	2	1	25	4	21	       0.0100772	      -7.3013384	      -7.1725834	       0.9180101	      -7.1831400
20-49	Men	Obese	"bmi"	3	2	25	6	19	       0.0089838	      -7.1586769	      -6.9011668	       0.8410925	      -6.9420871
20-49	Men	Obese	"bmi"	4	3	25	8	17	       0.0064853	      -7.2270469	      -6.8407818	       0.8374850	      -6.9035557
20-49	Men	Obese	"bmi"	5	4	25	10	15	       0.0043387	      -7.3714964	      -6.8564763	       0.9597114	      -6.8772257
50+	Men	Obese	"bmi"	1	0	25	2	23	       0.0873491	      -5.3992085	      -5.3992085	       0.0000000	      -5.3992085
50+	Men	Obese	"bmi"	2	1	25	4	21	       0.0079407	      -7.5396043	      -7.4108492	       0.9090919	      -7.4225541
50+	Men	Obese	"bmi"	3	2	25	6	19	       0.0055440	      -7.6413885	      -7.3838785	       0.7880173	      -7.4384662
50+	Men	Obese	"bmi"	4	3	25	8	17	       0.0028765	      -8.0400316	      -7.6537665	       0.8719215	      -7.7032388
50+	Men	Obese	"bmi"	5	4	25	10	15	       0.0022636	      -8.0221288	      -7.5071086	       0.8719215	      -7.5730717
20-49	Women	Obese	"bmi"	1	0	25	2	23	       0.0436171	      -6.0936718	      -6.0936718	       0.0000000	      -6.0936718
20-49	Women	Obese	"bmi"	2	1	25	4	21	       0.0156297	      -6.8624365	      -6.7336815	       0.6416606	      -6.7798195
20-49	Women	Obese	"bmi"	3	2	25	6	19	       0.0038169	      -8.0146732	      -7.7571631	       0.9557279	      -7.7685636
20-49	Women	Obese	"bmi"	4	3	25	8	17	       0.0032967	      -7.9036599	      -7.5173948	       0.9532548	      -7.5354508
20-49	Women	Obese	"bmi"	5	4	25	10	15	       0.0030491	      -7.7242264	      -7.2092062	       0.7999127	      -7.3122552
50+	Women	Obese	"bmi"	1	0	25	2	23	       0.0287781	      -6.5095066	      -6.5095066	       0.0000000	      -6.5095066
50+	Women	Obese	"bmi"	2	1	25	4	21	       0.0092923	      -7.3824210	      -7.2536660	       0.6771038	      -7.2952405
50+	Women	Obese	"bmi"	3	2	25	6	19	       0.0082001	      -7.2499522	      -6.9924421	       0.8372031	      -7.0343640
50+	Women	Obese	"bmi"	4	3	25	8	17	       0.0036383	      -7.8050669	      -7.4188018	       0.8320532	      -7.4836738
50+	Women	Obese	"bmi"	5	4	25	10	15	       0.0028159	      -7.8038104	      -7.2887902	       0.9012482	      -7.3396494
20-49	Men	Overweight	"bmi"	1	0	25	2	23	       0.0058065	      -8.1101403	      -8.1101403	       0.0000000	      -8.1101403
20-49	Men	Overweight	"bmi"	2	1	25	4	21	       0.0033572	      -8.4004897	      -8.2717347	       0.4218139	      -8.3461791
20-49	Men	Overweight	"bmi"	3	2	25	6	19	       0.0015214	      -8.9344446	      -8.6769345	       0.8230254	      -8.7225073
20-49	Men	Overweight	"bmi"	4	3	25	8	17	       0.0013010	      -8.8334304	      -8.4471653	       0.8230254	      -8.5155244
20-49	Men	Overweight	"bmi"	5	4	25	10	15	       0.0012158	      -8.6436923	      -8.1286721	       0.6742136	      -8.2964587
50+	Men	Overweight	"bmi"	1	0	25	2	23	       0.0061066	      -8.0597500	      -8.0597500	       0.0000000	      -8.0597500
50+	Men	Overweight	"bmi"	2	1	25	4	21	       0.0048928	      -8.0238543	      -7.8950993	       0.1987757	      -7.9982610
50+	Men	Overweight	"bmi"	3	2	25	6	19	       0.0014369	      -8.9916224	      -8.7341124	       0.9693900	      -8.7419948
50+	Men	Overweight	"bmi"	4	3	25	8	17	       0.0012868	      -8.8444470	      -8.4581819	       0.9677455	      -8.4706407
50+	Men	Overweight	"bmi"	5	4	25	10	15	       0.0006805	      -9.2240706	      -8.7090505	       0.9693900	      -8.7248153
20-49	Women	Overweight	"bmi"	1	0	25	2	23	       0.0048017	      -8.3001613	      -8.3001613	       0.0000000	      -8.3001613
20-49	Women	Overweight	"bmi"	2	1	25	4	21	       0.0033538	      -8.4015298	      -8.2727748	       0.3015408	      -8.3627049
20-49	Women	Overweight	"bmi"	3	2	25	6	19	       0.0021311	      -8.5974658	      -8.3399557	       0.8297673	      -8.3837923
20-49	Women	Overweight	"bmi"	4	3	25	8	17	       0.0018427	      -8.4853415	      -8.0990764	       0.8297673	      -8.1648314
20-49	Women	Overweight	"bmi"	5	4	25	10	15	       0.0009209	      -8.9215044	      -8.4064843	       0.9118909	      -8.4518622
50+	Women	Overweight	"bmi"	1	0	25	2	23	       0.0062778	      -8.0321032	      -8.0321032	       0.0000000	      -8.0321032
50+	Women	Overweight	"bmi"	2	1	25	4	21	       0.0030868	      -8.4844606	      -8.3557056	       0.5082906	      -8.4190156
50+	Women	Overweight	"bmi"	3	2	25	6	19	       0.0024941	      -8.4401760	      -8.1826660	       0.5738702	      -8.2923987
50+	Women	Overweight	"bmi"	4	3	25	8	17	       0.0020616	      -8.3731126	      -7.9868475	       0.6437047	      -8.1244720
50+	Women	Overweight	"bmi"	5	4	25	10	15	       0.0011503	      -8.6990213	      -8.1840012	       0.7753473	      -8.2997019
20-49	Men	Underweight	"bmi"	1	0	25	2	23	       0.7103535	      -3.3033583	      -3.3033583	       0.0000000	      -3.3033583
20-49	Men	Underweight	"bmi"	2	1	25	4	21	       0.4614557	      -3.4772249	      -3.3484699	       0.3503859	      -3.4321110
20-49	Men	Underweight	"bmi"	3	2	25	6	19	       0.4126839	      -3.3314190	      -3.0739089	       0.4695000	      -3.2105180
20-49	Men	Underweight	"bmi"	4	3	25	8	17	       0.3551039	      -3.2241805	      -2.8379154	       0.7214994	      -2.9454904
20-49	Men	Underweight	"bmi"	5	4	25	10	15	       0.2469081	      -3.3300645	      -2.8150444	       0.6695392	      -2.9852384
50+	Men	Underweight	"bmi"	1	0	25	2	23	       0.7429790	      -3.2584532	      -3.2584532	       0.0000000	      -3.2584532
50+	Men	Underweight	"bmi"	2	1	25	4	21	       0.2762542	      -3.9902896	      -3.8615345	       0.6281804	      -3.9094082
50+	Men	Underweight	"bmi"	3	2	25	6	19	       0.1691782	      -4.2231484	      -3.9656384	       0.7497132	      -4.0300897
50+	Men	Underweight	"bmi"	4	3	25	8	17	       0.1402865	      -4.1529043	      -3.7666392	       0.7594478	      -3.8595561
50+	Men	Underweight	"bmi"	5	4	25	10	15	       0.1240789	      -4.0181631	      -3.5031430	       0.6196445	      -3.6990338
20-49	Women	Underweight	"bmi"	1	0	25	2	23	       0.1259119	      -5.0335384	      -5.0335384	       0.0000000	      -5.0335384
20-49	Women	Underweight	"bmi"	2	1	25	4	21	       0.1021903	      -4.9847739	      -4.8560188	       0.1883982	      -4.9605166
20-49	Women	Underweight	"bmi"	3	2	25	6	19	       0.0660539	      -5.1636301	      -4.9061201	       0.9071956	      -4.9300181
20-49	Women	Underweight	"bmi"	4	3	25	8	17	       0.0510956	      -5.1628923	      -4.7766272	       0.9071956	      -4.8124743
20-49	Women	Underweight	"bmi"	5	4	25	10	15	       0.0237441	      -5.6717487	      -5.1567286	       0.9147664	      -5.2006256
50+	Women	Underweight	"bmi"	1	0	25	2	23	       0.5260639	      -3.6036984	      -3.6036984	       0.0000000	      -3.6036984
50+	Women	Underweight	"bmi"	2	1	25	4	21	       0.3701898	      -3.6975952	      -3.5688401	       0.2963026	      -3.6594447
50+	Women	Underweight	"bmi"	3	2	25	6	19	       0.2602443	      -3.7924800	      -3.5349699	       0.9727351	      -3.5419909
50+	Women	Underweight	"bmi"	4	3	25	8	17	       0.0554455	      -5.0811896	      -4.6949245	       0.9727351	      -4.7054560
50+	Women	Underweight	"bmi"	5	4	25	10	15	       0.0432610	      -5.0718300	      -4.5568098	       0.9805456	      -4.5668293
20-49	Men	Below Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0043632	      -6.4002096	      -6.4002096	       0.0000000	      -6.4002096
50+	Men	Below Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0000606	     -10.6762905	     -10.6762905	       0.0000000	     -10.6762905
20-49	Women	Below Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0015464	      -7.4375112	      -7.4375112	       0.0000000	      -7.4375112
50+	Women	Below Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0006246	      -8.3440327	      -8.3440327	       0.0000000	      -8.3440327
20-49	Men	Meets Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0054248	      -6.1824342	      -6.1824342	       0.0000000	      -6.1824342
50+	Men	Meets Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0003935	      -8.8060140	      -8.8060140	       0.0000000	      -8.8060140
20-49	Women	Meets Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0072669	      -5.8900935	      -5.8900935	       0.0000000	      -5.8900935
50+	Women	Meets Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0156207	      -5.1248227	      -5.1248227	       0.0000000	      -5.1248227
20-49	Men	Current	"smoking_status"	1	0	25	2	23	       0.0114219	      -7.4335922	      -7.4335922	       0.0000000	      -7.4335922
20-49	Men	Current	"smoking_status"	2	1	25	4	21	       0.0053312	      -7.9380307	      -7.8092757	       0.5332440	      -7.8693729
20-49	Men	Current	"smoking_status"	3	2	25	6	19	       0.0041708	      -7.9259852	      -7.6684751	       0.8966910	      -7.6950783
20-49	Men	Current	"smoking_status"	4	3	25	8	17	       0.0027359	      -8.0901365	      -7.7038714	       0.7294696	      -7.8083678
20-49	Men	Current	"smoking_status"	5	4	25	10	15	       0.0012873	      -8.5865610	      -8.0715408	       0.8966910	      -8.1247471
50+	Men	Current	"smoking_status"	1	0	25	2	23	       0.0260265	      -6.6100059	      -6.6100059	       0.0000000	      -6.6100059
50+	Men	Current	"smoking_status"	2	1	25	4	21	       0.0170813	      -6.7736245	      -6.6448695	       0.3436943	      -6.7293721
50+	Men	Current	"smoking_status"	3	2	25	6	19	       0.0078914	      -7.2883260	      -7.0308159	       0.7438546	      -7.0967759
50+	Men	Current	"smoking_status"	4	3	25	8	17	       0.0056266	      -7.3690864	      -6.9828213	       0.8402267	      -7.0445361
50+	Men	Current	"smoking_status"	5	4	25	10	15	       0.0048689	      -7.2562102	      -6.7411901	       0.8528260	      -6.8169876
20-49	Women	Current	"smoking_status"	1	0	25	2	23	       0.0375694	      -6.2429306	      -6.2429306	       0.0000000	      -6.2429306
20-49	Women	Current	"smoking_status"	2	1	25	4	21	       0.0123408	      -7.0987009	      -6.9699458	       0.6715203	      -7.0122392
20-49	Women	Current	"smoking_status"	3	2	25	6	19	       0.0037967	      -8.0199558	      -7.7624458	       0.9495448	      -7.7754385
20-49	Women	Current	"smoking_status"	4	3	25	8	17	       0.0030956	      -7.9666087	      -7.5803436	       0.9500281	      -7.5996460
20-49	Women	Current	"smoking_status"	5	4	25	10	15	       0.0028063	      -7.8072053	      -7.2921852	       0.8902972	      -7.3486844
50+	Women	Current	"smoking_status"	1	0	25	2	23	       0.0097867	      -7.5880942	      -7.5880942	       0.0000000	      -7.5880942
50+	Women	Current	"smoking_status"	2	1	25	4	21	       0.0076749	      -7.5736558	      -7.4449007	       0.2157847	      -7.5458724
50+	Women	Current	"smoking_status"	3	2	25	6	19	       0.0059048	      -7.5783308	      -7.3208207	       0.7891084	      -7.3751274
50+	Women	Current	"smoking_status"	4	3	25	8	17	       0.0028672	      -8.0432722	      -7.6570071	       0.9333304	      -7.6827593
50+	Women	Current	"smoking_status"	5	4	25	10	15	       0.0014980	      -8.4349285	      -7.9199084	       0.9333304	      -7.9542446
20-49	Men	Never	"smoking_status"	1	0	25	2	23	       0.0080948	      -7.7778956	      -7.7778956	       0.0000000	      -7.7778956
20-49	Men	Never	"smoking_status"	2	1	25	4	21	       0.0028163	      -8.5761901	      -8.4474351	       0.6520876	      -8.4922305
20-49	Men	Never	"smoking_status"	3	2	25	6	19	       0.0008255	      -9.5458341	      -9.2883241	       0.9035082	      -9.3131717
20-49	Men	Never	"smoking_status"	4	3	25	8	17	       0.0007929	      -9.3286184	      -8.9423533	       0.9035082	      -8.9796247
20-49	Men	Never	"smoking_status"	5	4	25	10	15	       0.0007374	      -9.1436776	      -8.6286575	       0.8646119	      -8.6983851
50+	Men	Never	"smoking_status"	1	0	25	2	23	       0.0084355	      -7.7366674	      -7.7366674	       0.0000000	      -7.7366674
50+	Men	Never	"smoking_status"	2	1	25	4	21	       0.0069697	      -7.6700393	      -7.5412843	       0.1737700	      -7.6476656
50+	Men	Never	"smoking_status"	3	2	25	6	19	       0.0047476	      -7.7964660	      -7.5389559	       0.8785568	      -7.5702288
50+	Men	Never	"smoking_status"	4	3	25	8	17	       0.0037578	      -7.7727592	      -7.3864941	       0.8490892	      -7.4447857
50+	Men	Never	"smoking_status"	5	4	25	10	15	       0.0021769	      -8.0611908	      -7.5461706	       0.8785568	      -7.6087163
20-49	Women	Never	"smoking_status"	1	0	25	2	23	       0.0029145	      -8.7994131	      -8.7994131	       0.0000000	      -8.7994131
20-49	Women	Never	"smoking_status"	2	1	25	4	21	       0.0023695	      -8.7489312	      -8.6201762	       0.1870033	      -8.7248536
20-49	Women	Never	"smoking_status"	3	2	25	6	19	       0.0012335	      -9.1442704	      -8.8867604	       0.7651339	      -8.9472408
20-49	Women	Never	"smoking_status"	4	3	25	8	17	       0.0005991	      -9.6089534	      -9.2226883	       0.8578050	      -9.2776133
20-49	Women	Never	"smoking_status"	5	4	25	10	15	       0.0005010	      -9.5301790	      -9.0151589	       0.8578050	      -9.0883922
50+	Women	Never	"smoking_status"	1	0	25	2	23	       0.0017187	      -9.3275724	      -9.3275724	       0.0000000	      -9.3275724
50+	Women	Never	"smoking_status"	2	1	25	4	21	       0.0013314	      -9.3253747	      -9.1966196	       0.2253255	      -9.2963629
50+	Women	Never	"smoking_status"	3	2	25	6	19	       0.0009448	      -9.4109154	      -9.1534054	       0.4577627	      -9.2930369
50+	Women	Never	"smoking_status"	4	3	25	8	17	       0.0008996	      -9.2024194	      -8.8161543	       0.4577627	      -9.0256017
50+	Women	Never	"smoking_status"	5	4	25	10	15	       0.0007649	      -9.1071447	      -8.5921246	       0.6668481	      -8.7637045
20-49	Men	Previously	"smoking_status"	1	0	25	2	23	       0.0683246	      -5.6448515	      -5.6448515	       0.0000000	      -5.6448515
20-49	Men	Previously	"smoking_status"	2	1	25	4	21	       0.0114599	      -7.1727527	      -7.0439976	       0.8322719	      -7.0655935
20-49	Men	Previously	"smoking_status"	3	2	25	6	19	       0.0036416	      -8.0616772	      -7.8041671	       0.9504009	      -7.8169394
20-49	Men	Previously	"smoking_status"	4	3	25	8	17	       0.0021730	      -8.3204996	      -7.9342345	       0.9494817	      -7.9537480
20-49	Men	Previously	"smoking_status"	5	4	25	10	15	       0.0009492	      -8.8912336	      -8.3762134	       0.9494817	      -8.4022314
50+	Men	Previously	"smoking_status"	1	0	25	2	23	       0.0082707	      -7.7564051	      -7.7564051	       0.0000000	      -7.7564051
50+	Men	Previously	"smoking_status"	2	1	25	4	21	       0.0049312	      -8.0160307	      -7.8872757	       0.4037741	      -7.9640428
