"sex"	"age_group"	"cancer_site"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
Men	50+	Kidney	3	19	8	11	25.654291	2.332208	Uncorrelated	0	NA	NA	NA	-89.753074	4.720712	-19.012616	0.000000	0.048774	0.002353	20.724783	0.000000	NA	NA	NA	NA	22.285117	0.000000	2179.971948	1.000000	0.000000	1.000000
Men	50+	Kidney	3	19	8	11	25.654291	2.332208	Uncorrelated	1	2011	2003	2011	-169.972256	49.543843	-3.430744	0.008945	0.088664	0.024618	3.601656	0.006966	0.039890	0.024730	1.613039	0.145401	0.000006	0.000000	0.000537	1.000000	0.000000	1.000000
Men	50+	Kidney	3	19	8	11	25.654291	2.332208	Uncorrelated	2	2014	2009	2014	23.604909	46.690170	0.505565	0.626794	-0.007452	0.023165	-0.321669	0.755947	-0.096116	0.033803	-2.843380	0.021699	2454.592416	0.000000	2040.619721	1.000000	0.000000	1.000000
Men	50+	Kidney	3	19	8	11	25.654291	2.332208	Uncorrelated	3	2017	2014	2017	-107.250089	45.173219	-2.374196	0.044951	0.057424	0.022379	2.565948	0.033337	0.064876	0.032210	2.014164	0.078768	0.000606	0.000000	0.000501	1.000000	0.000000	1.000000
Men	50+	Liver	1	19	4	15	28.598253	1.906550	Uncorrelated	0	NA	NA	NA	-143.007796	5.020138	-28.486828	0.000000	0.074978	0.002500	29.991089	0.000000	NA	NA	NA	NA	25.201782	0.000000	247.020014	1.000000	0.000000	1.000000
Men	50+	Liver	1	19	4	15	28.598253	1.906550	Uncorrelated	1	2014	2012	2016	-66.971025	15.716870	-4.261092	0.000791	0.037224	0.007792	4.777294	0.000295	-0.037754	0.008183	-4.613649	0.000402	0.000006	0.000000	0.000061	1.000000	0.000000	1.000000
Men	50+	MultipleMyeloma	0	19	2	17	116.891128	6.875949	Uncorrelated	0	NA	NA	NA	-85.241682	4.435437	-19.218328	0.000000	0.046298	0.002205	20.995051	0.000000	NA	NA	NA	NA	19.673101	-0.009781	0.000005	1.000000	-0.999996	1.000000
Men	50+	Oral	1	19	4	15	45.175149	3.011677	Uncorrelated	0	NA	NA	NA	-94.854352	5.599565	-16.939593	0.000000	0.051234	0.002790	18.364387	0.000000	NA	NA	NA	NA	31.355129	0.000000	163.480887	1.000000	0.000000	1.000000
Men	50+	Oral	1	19	4	15	45.175149	3.011677	Uncorrelated	1	2013	2003	2017	-66.628791	12.785964	-5.211088	0.000132	0.037213	0.006340	5.869202	0.000041	-0.014022	0.006927	-2.024207	0.062464	0.000008	0.000000	0.000040	1.000000	0.000000	1.000000
Men	50+	Pancreas	0	19	2	17	24.139543	1.419973	Uncorrelated	0	NA	NA	NA	-53.610505	1.688907	-31.742730	0.000000	0.030736	0.000840	36.596534	0.000000	NA	NA	NA	NA	2.852405	-0.001418	0.000001	1.000000	-0.999996	1.000000
Men	50+	Thyroid	1	19	4	15	21.203089	1.413539	Uncorrelated	0	NA	NA	NA	-149.802505	10.209042	-14.673512	0.000000	0.077475	0.005084	15.238751	0.000000	NA	NA	NA	NA	104.224539	0.000000	1023.344111	1.000000	0.000000	1.000000
Men	50+	Thyroid	1	19	4	15	21.203089	1.413539	Uncorrelated	1	2014	2003	2017	-74.451188	31.989750	-2.327345	0.035460	0.040061	0.015859	2.526023	0.024217	-0.037414	0.016654	-2.246482	0.041327	0.000026	0.000000	0.000252	1.000000	0.000000	1.000000
Women	20-49	Breast	1	19	4	15	29.804739	1.986983	Uncorrelated	0	NA	NA	NA	-33.976319	2.588226	-13.127259	0.000000	0.021392	0.001290	16.586195	0.000000	NA	NA	NA	NA	6.698916	0.000000	49.674487	1.000000	0.000000	1.000000
Women	20-49	Breast	1	19	4	15	29.804739	1.986983	Uncorrelated	1	2013	2012	2014	25.898552	7.048013	3.674589	0.002500	-0.008352	0.003495	-2.389586	0.031490	-0.029744	0.003726	-7.983787	0.000001	0.000002	0.000000	0.000012	1.000000	0.000000	1.000000
Women	20-49	Colorectum	1	19	4	15	22.306867	1.487124	Uncorrelated	0	NA	NA	NA	-76.821117	5.607664	-13.699309	0.000000	0.041625	0.002792	14.906510	0.000000	NA	NA	NA	NA	31.445894	0.000000	1023.742361	1.000000	0.000000	1.000000
Women	20-49	Colorectum	1	19	4	15	22.306867	1.487124	Uncorrelated	1	2015	2003	2017	-5.232104	31.995974	-0.163524	0.872443	0.006097	0.015859	0.384476	0.706403	-0.035528	0.016103	-2.206286	0.044572	0.000008	0.000000	0.000252	1.000000	0.000000	1.000000
Women	20-49	Endometrium	1	19	4	15	18.055054	1.203670	Uncorrelated	0	NA	NA	NA	-129.988379	29.454016	-4.413265	0.000590	0.067780	0.014700	4.610899	0.000404	NA	NA	NA	NA	867.539061	0.000000	73.813838	1.000000	0.000000	1.000000
Women	20-49	Endometrium	1	19	4	15	18.055054	1.203670	Uncorrelated	1	2007	2004	2011	-34.802485	8.591498	-4.050805	0.001191	0.020353	0.004266	4.770476	0.000299	-0.047427	0.015307	-3.098472	0.007856	0.000216	0.000000	0.000018	1.000000	0.000000	1.000000
