"sex"	"age_group"	"cancer_site"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
Men	50+	MultipleMyeloma	4	3	19	8	11	       0.0232379	      -5.4666459	      -5.0017344	       0.4661710	      -5.2499177
Men	50+	Oral	1	0	19	2	17	       0.0239580	      -6.3659493	      -6.3659493	       0.0000000	      -6.3659493
Men	50+	Oral	2	1	19	4	15	       0.0143324	      -6.5697863	      -6.4148158	       0.4017688	      -6.5075240
Men	50+	Oral	3	2	19	6	13	       0.0120206	      -6.4357506	      -6.1258097	       0.5609001	      -6.2619047
Men	50+	Oral	4	3	19	8	11	       0.0111654	      -6.1996140	      -5.7347025	       0.5674696	      -5.9357908
Men	50+	Pancreas	1	0	19	2	17	       0.0056689	      -7.8072555	      -7.8072555	       0.0000000	      -7.8072555
Men	50+	Pancreas	2	1	19	4	15	       0.0046435	      -7.6968475	      -7.5418771	       0.1808869	      -7.6688154
Men	50+	Pancreas	3	2	19	6	13	       0.0045700	      -7.4028527	      -7.0929118	       0.2543808	      -7.3240097
Men	50+	Pancreas	4	3	19	8	11	       0.0043966	      -7.1315928	      -6.6666814	       0.8294347	      -6.7459792
Men	50+	Thyroid	1	0	19	2	17	       0.0970149	      -4.9673883	      -4.9673883	       0.0000000	      -4.9673883
Men	50+	Thyroid	2	1	19	4	15	       0.0675226	      -5.0198499	      -4.8648794	       0.3039979	      -4.9727392
Men	50+	Thyroid	3	2	19	6	13	       0.0502047	      -5.0062620	      -4.6963211	       0.4048487	      -4.8807828
Men	50+	Thyroid	4	3	19	8	11	       0.0484864	      -4.7311480	      -4.2662366	       0.5091724	      -4.4944279
Women	20-49	Breast	1	0	19	2	17	       0.0150775	      -6.8290490	      -6.8290490	       0.0000000	      -6.8290490
Women	20-49	Breast	2	1	19	4	15	       0.0040019	      -7.8455380	      -7.6905676	       0.7345770	      -7.7317003
Women	20-49	Breast	3	2	19	6	13	       0.0036818	      -7.6189794	      -7.3090384	       0.6842834	      -7.4068919
Women	20-49	Breast	4	3	19	8	11	       0.0027369	      -7.6055868	      -7.1406754	       0.9527509	      -7.1626421
Women	20-49	Colorectum	1	0	19	2	17	       0.0299250	      -6.1435581	      -6.1435581	       0.0000000	      -6.1435581
Women	20-49	Colorectum	2	1	19	4	15	       0.0225379	      -6.1171145	      -5.9621440	       0.2468549	      -6.0788593
Women	20-49	Colorectum	3	2	19	6	13	       0.0168851	      -6.0959387	      -5.7859977	       0.5060537	      -5.9390919
Women	20-49	Colorectum	4	3	19	8	11	       0.0158872	      -5.8469182	      -5.3820068	       0.3474735	      -5.6853738
Women	20-49	Endometrium	1	0	19	2	17	       0.0817727	      -5.1383101	      -5.1383101	       0.0000000	      -5.1383101
Women	20-49	Endometrium	2	1	19	4	15	       0.0463216	      -5.3967039	      -5.2417334	       0.4335320	      -5.3295192
Women	20-49	Endometrium	3	2	19	6	13	       0.0421428	      -5.1813073	      -4.8713664	       0.5755845	      -5.0029101
Women	20-49	Endometrium	4	3	19	8	11	       0.0399080	      -4.9258532	      -4.4609418	       0.9181587	      -4.4989907
Women	20-49	Gallbladder	1	0	19	2	17	       0.4662019	      -3.3976344	      -3.3976344	       0.0000000	      -3.3976344
Women	20-49	Gallbladder	2	1	19	4	15	       0.4183761	      -3.1959316	      -3.0409611	       0.1025861	      -3.1800337
Women	20-49	Gallbladder	3	2	19	6	13	       0.3841061	      -2.9714527	      -2.6615117	       0.7619048	      -2.7353072
Women	20-49	Gallbladder	4	3	19	8	11	       0.3498360	      -2.7549661	      -2.2900547	       0.2851532	      -2.6223952
Women	20-49	Kidney	1	0	19	2	17	       0.1129860	      -4.8149897	      -4.8149897	       0.0000000	      -4.8149897
Women	20-49	Kidney	2	1	19	4	15	       0.0827816	      -4.8161064	      -4.6611360	       0.2673284	      -4.7746784
Women	20-49	Kidney	3	2	19	6	13	       0.0707722	      -4.6629049	      -4.3529640	       0.6201550	      -4.4706935
Women	20-49	Kidney	4	3	19	8	11	       0.0582451	      -4.5477702	      -4.0828588	       0.5137033	      -4.3089437
Women	20-49	Liver	1	0	19	2	17	       0.3342022	      -3.7305070	      -3.7305070	       0.0000000	      -3.7305070
Women	20-49	Liver	2	1	19	4	15	       0.1176270	      -4.4647941	      -4.3098237	       0.6480366	      -4.3643676
Women	20-49	Liver	3	2	19	6	13	       0.0884446	      -4.4399947	      -4.1300538	       0.6956801	      -4.2243750
Women	20-49	Liver	4	3	19	8	11	       0.0832601	      -4.1904608	      -3.7255493	       0.6956801	      -3.8670312
Women	20-49	MultipleMyeloma	1	0	19	2	17	       0.2277432	      -4.1140345	      -4.1140345	       0.0000000	      -4.1140345
Women	20-49	MultipleMyeloma	2	1	19	4	15	       0.1976891	      -3.9456169	      -3.7906464	       0.1319651	      -3.9251662
Women	20-49	MultipleMyeloma	3	2	19	6	13	       0.1577178	      -3.8615642	      -3.5516232	       0.3022499	      -3.7678846
Women	20-49	MultipleMyeloma	4	3	19	8	11	       0.1422746	      -3.6546714	      -3.1897600	       0.5308059	      -3.4078937
Women	20-49	Oral	1	0	19	2	17	       0.1002774	      -4.9343132	      -4.9343132	       0.0000000	      -4.9343132
Women	20-49	Oral	2	1	19	4	15	       0.0699740	      -4.9841889	      -4.8292184	       0.3021958	      -4.9373575
Women	20-49	Oral	3	2	19	6	13	       0.0431541	      -5.1575939	      -4.8476529	       0.5712935	      -4.9805266
Women	20-49	Oral	4	3	19	8	11	       0.0416663	      -4.8827381	      -4.4178267	       0.5712935	      -4.6171372
Women	20-49	Pancreas	1	0	19	2	17	       0.1489132	      -4.5388894	      -4.5388894	       0.0000000	      -4.5388894
Women	20-49	Pancreas	2	1	19	4	15	       0.1377801	      -4.3066537	      -4.1516833	       0.0747629	      -4.2950677
Women	20-49	Pancreas	3	2	19	6	13	       0.1033026	      -4.2847088	      -3.9747679	       0.5033066	      -4.1287135
Women	20-49	Pancreas	4	3	19	8	11	       0.0969361	      -4.0383780	      -3.5734666	       0.9438445	      -3.5995739
Women	20-49	Thyroid	1	0	19	2	17	       0.0515764	      -5.5991889	      -5.5991889	       0.0000000	      -5.5991889
Women	20-49	Thyroid	2	1	19	4	15	       0.0151631	      -6.5134493	      -6.3584788	       0.7060076	      -6.4040389
Women	20-49	Thyroid	3	2	19	6	13	       0.0133241	      -6.3327973	      -6.0228563	       0.7032300	      -6.1148375
Women	20-49	Thyroid	4	3	19	8	11	       0.0113812	      -6.1804690	      -5.7155576	       0.9145231	      -5.7552968
Women	50+	Breast	1	0	19	2	17	       0.0066758	      -7.6437699	      -7.6437699	       0.0000000	      -7.6437699
Women	50+	Breast	2	1	19	4	15	       0.0046062	      -7.7049084	      -7.5499379	       0.3100112	      -7.6568658
Women	50+	Breast	3	2	19	6	13	       0.0037470	      -7.6014033	      -7.2914624	       0.2318661	      -7.5295385
Women	50+	Breast	4	3	19	8	11	       0.0029502	      -7.5305643	      -7.0656529	       0.6022744	      -7.2505601
Women	50+	Colorectum	1	0	19	2	17	       0.0154736	      -6.8031157	      -6.8031157	       0.0000000	      -6.8031157
Women	50+	Colorectum	2	1	19	4	15	       0.0038188	      -7.8923729	      -7.7374024	       0.7532055	      -7.7756483
Women	50+	Colorectum	3	2	19	6	13	       0.0019316	      -8.2640446	      -7.9541036	       0.8677193	      -7.9951029
Women	50+	Colorectum	4	3	19	8	11	       0.0015577	      -8.1692092	      -7.7042978	       0.8461296	      -7.7758339
Women	50+	Endometrium	1	0	19	2	17	       0.0298829	      -6.1449674	      -6.1449674	       0.0000000	      -6.1449674
Women	50+	Endometrium	2	1	19	4	15	       0.0050553	      -7.6118675	      -7.4568970	       0.8308284	      -7.4831136
Women	50+	Endometrium	3	2	19	6	13	       0.0044728	      -7.4243647	      -7.1144238	       0.5830933	      -7.2436402
Women	50+	Endometrium	4	3	19	8	11	       0.0039337	      -7.2428493	      -6.7779379	       0.5620794	      -6.9815322
Women	50+	Gallbladder	1	0	19	2	17	       0.0367589	      -5.9378723	      -5.9378723	       0.0000000	      -5.9378723
Women	50+	Gallbladder	2	1	19	4	15	       0.0286366	      -5.8776277	      -5.7226573	       0.2209627	      -5.8433850
Women	50+	Gallbladder	3	2	19	6	13	       0.0185215	      -6.0034370	      -5.6934961	       0.8819515	      -5.7300841
Women	50+	Gallbladder	4	3	19	8	11	       0.0159067	      -5.8456899	      -5.3807785	       0.6119748	      -5.5611758
Women	50+	Kidney	1	0	19	2	17	       0.0659092	      -5.3539757	      -5.3539757	       0.0000000	      -5.3539757
Women	50+	Kidney	2	1	19	4	15	       0.0147555	      -6.5406954	      -6.3857249	       0.7761235	      -6.4204192
Women	50+	Kidney	3	2	19	6	13	       0.0136214	      -6.3107270	      -6.0007861	       0.6588533	      -6.1065214
Women	50+	Kidney	4	3	19	8	11	       0.0109802	      -6.2163359	      -5.7514245	       0.6650719	      -5.9071364
Women	50+	Liver	1	0	19	2	17	       0.0796329	      -5.1648254	      -5.1648254	       0.0000000	      -5.1648254
Women	50+	Liver	2	1	19	4	15	       0.0374633	      -5.6089519	      -5.4539814	       0.5295509	      -5.5268871
Women	50+	Liver	3	2	19	6	13	       0.0239345	      -5.7470502	      -5.4371093	       0.6591735	      -5.5427454
Women	50+	Liver	4	3	19	8	11	       0.0207132	      -5.5816615	      -5.1167500	       0.7284405	      -5.2430012
Women	50+	MultipleMyeloma	1	0	19	2	17	       0.0502116	      -5.6260080	      -5.6260080	       0.0000000	      -5.6260080
Women	50+	MultipleMyeloma	2	1	19	4	15	       0.0466676	      -5.3892613	      -5.2342908	       0.0705797	      -5.3783235
