"age_group"	"sex"	"imd"	"level"	"variable"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
All	Women	1	Previously	"smoking_status"	2	19	6	13	0.003691	0.000284	Uncorrelated	0	NA	NA	NA	40.601376	23.370430	1.737297	0.110214	-0.021000	0.011674	-1.798976	0.099486	NA	NA	NA	NA	546.177006	0.000000	0.000545	1.000000	0.000000	1.000000
All	Women	1	Previously	"smoking_status"	2	19	6	13	0.003691	0.000284	Uncorrelated	1	2004	2003	2005	-73.393780	46.822573	-1.567487	0.145298	0.035883	0.023347	1.536954	0.152556	0.056884	0.026103	2.179220	0.051936	0.000136	0.000000	7.726872	1.000000	0.000000	1.000000
All	Women	1	Previously	"smoking_status"	2	19	6	13	0.003691	0.000284	Uncorrelated	2	2007	2006	2011	11.032169	2.779725	3.968799	0.002201	-0.006182	0.001381	-4.478210	0.000934	-0.042066	0.023388	-1.798614	0.099546	2192.353314	0.000000	0.000002	1.000000	0.000000	1.000000
All	Women	2	Previously	"smoking_status"	1	19	4	15	0.007765	0.000518	Uncorrelated	0	NA	NA	NA	36.578818	32.320005	1.131770	0.276745	-0.018962	0.016144	-1.174567	0.259760	NA	NA	NA	NA	1044.582694	0.000000	7.536063	1.000000	0.000000	1.000000
All	Women	2	Previously	"smoking_status"	1	19	4	15	0.007765	0.000518	Uncorrelated	1	2004	2003	2008	-7.774985	2.745189	-2.832222	0.013308	0.003171	0.001364	2.323795	0.035701	0.022133	0.016201	1.366093	0.193453	0.000261	0.000000	0.000002	1.000000	0.000000	1.000000
All	Women	3	Previously	"smoking_status"	1	19	4	15	0.015705	0.001047	Uncorrelated	0	NA	NA	NA	-22.319980	3.591215	-6.215160	0.000023	0.010404	0.001788	5.818695	0.000045	NA	NA	NA	NA	12.896828	0.000000	8857.341943	1.000000	0.000000	1.000000
All	Women	3	Previously	"smoking_status"	1	19	4	15	0.015705	0.001047	Uncorrelated	1	2017	2014	2017	104.453930	94.113453	1.109872	0.285754	-0.052449	0.046625	-1.124898	0.279549	-0.062853	0.046660	-1.347045	0.199366	0.000003	0.000000	0.002174	1.000000	0.000000	1.000000
All	Women	4	Previously	"smoking_status"	0	19	2	17	0.029865	0.001757	Uncorrelated	0	NA	NA	NA	-16.165626	3.528720	-4.581159	0.000266	0.007290	0.001756	4.152256	0.000667	NA	NA	NA	NA	12.451862	-0.006195	0.000003	1.000000	-0.999996	1.000000
All	Women	5	Previously	"smoking_status"	2	19	6	13	0.008263	0.000636	Uncorrelated	0	NA	NA	NA	17.162483	8.221560	2.087497	0.060904	-0.009384	0.004102	-2.287928	0.042934	NA	NA	NA	NA	67.594055	0.000000	0.000040	1.000000	0.000000	1.000000
All	Women	5	Previously	"smoking_status"	2	19	6	13	0.008263	0.000636	Uncorrelated	1	2009	2007	2012	-43.435632	12.787616	-3.396695	0.005964	0.020779	0.006354	3.270219	0.007462	0.030163	0.007563	3.988337	0.002128	0.000017	0.000000	1438.657783	1.000000	0.000000	1.000000
All	Women	5	Previously	"smoking_status"	2	19	6	13	0.008263	0.000636	Uncorrelated	2	2016	2012	2017	50.757733	37.929643	1.338208	0.207834	-0.025944	0.018796	-1.380299	0.194899	-0.046723	0.019841	-2.354908	0.038155	163.523112	0.000000	0.000353	1.000000	0.000000	1.000000
