"age_group"	"sex"	"imd"	"level"	"variable"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
All	Women	4	Overweight	"bmi"	1	0	19	2	17	       0.0242102	      -6.3554803	      -6.3554803	       0.0000000	      -6.3554803
All	Women	4	Overweight	"bmi"	2	1	19	4	15	       0.0209636	      -6.1895252	      -6.0345547	       0.1341000	      -6.1687437
All	Women	4	Overweight	"bmi"	3	2	19	6	13	       0.0077182	      -6.8787867	      -6.5688458	       0.9141859	      -6.5954431
All	Women	4	Overweight	"bmi"	4	3	19	8	11	       0.0022909	      -7.7834952	      -7.3185838	       0.9141859	      -7.3584798
All	Women	5	Overweight	"bmi"	1	0	19	2	17	       0.0278150	      -6.2166762	      -6.2166762	       0.0000000	      -6.2166762
All	Women	5	Overweight	"bmi"	2	1	19	4	15	       0.0225273	      -6.1175834	      -5.9626129	       0.1901029	      -6.0881230
All	Women	5	Overweight	"bmi"	3	2	19	6	13	       0.0058090	      -7.1629711	      -6.8530301	       0.8086490	      -6.9123376
All	Women	5	Overweight	"bmi"	4	3	19	8	11	       0.0033992	      -7.3888991	      -6.9239877	       0.9336903	      -6.9548158
All	Men	1	Underweight	"bmi"	1	0	19	2	17	       1.8694119	      -2.0088742	      -2.0088742	       0.0000000	      -2.0088742
All	Men	1	Underweight	"bmi"	2	1	19	4	15	       1.3869952	      -1.9974174	      -1.8424470	       0.2580580	      -1.9574261
All	Men	1	Underweight	"bmi"	3	2	19	6	13	       0.3514399	      -3.0603328	      -2.7503919	       0.8210990	      -2.8058406
All	Men	1	Underweight	"bmi"	4	3	19	8	11	       0.2606227	      -3.0493566	      -2.5844451	       0.7739978	      -2.6895162
All	Men	2	Underweight	"bmi"	1	0	18	2	16	       1.9034244	      -1.9255648	      -1.9255648	       0.0000000	      -1.9255648
All	Men	2	Underweight	"bmi"	2	1	18	4	14	       1.7625325	      -1.6813152	      -1.5207390	       0.0740202	      -1.6694293
All	Men	2	Underweight	"bmi"	3	2	18	6	12	       0.9176789	      -2.0128222	      -1.6916698	       0.9310220	      -1.7138223
All	Men	2	Underweight	"bmi"	4	3	18	8	10	       0.6715441	      -2.0039376	      -1.5222090	       0.9310220	      -1.5554377
All	Men	3	Underweight	"bmi"	1	0	19	2	17	       2.0786108	      -1.9027982	      -1.9027982	       0.0000000	      -1.9027982
All	Men	3	Underweight	"bmi"	2	1	19	4	15	       1.4417540	      -1.9586967	      -1.8037262	       0.3063858	      -1.9112159
All	Men	3	Underweight	"bmi"	3	2	19	6	13	       0.8993115	      -2.1207420	      -1.8108010	       0.7107668	      -1.9004462
All	Men	3	Underweight	"bmi"	4	3	19	8	11	       0.5769606	      -2.2546565	      -1.7897451	       0.8042235	      -1.8807638
All	Men	4	Underweight	"bmi"	1	0	19	2	17	       1.4751188	      -2.2457595	      -2.2457595	       0.0000000	      -2.2457595
All	Men	4	Underweight	"bmi"	2	1	19	4	15	       1.1169412	      -2.2139632	      -2.0589928	       0.2428127	      -2.1763344
All	Men	4	Underweight	"bmi"	3	2	19	6	13	       0.3038555	      -3.2058191	      -2.8958782	       0.8117429	      -2.9542267
All	Men	4	Underweight	"bmi"	4	3	19	8	11	       0.1602600	      -3.5356328	      -3.0707213	       0.9135926	      -3.1108931
All	Men	5	Underweight	"bmi"	1	0	19	2	17	       0.9757571	      -2.6590396	      -2.6590396	       0.0000000	      -2.6590396
All	Men	5	Underweight	"bmi"	2	1	19	4	15	       0.5364399	      -2.9473578	      -2.7923874	       0.4502321	      -2.8775852
All	Men	5	Underweight	"bmi"	3	2	19	6	13	       0.2834964	      -3.2751720	      -2.9652310	       0.8329666	      -3.0170015
All	Men	5	Underweight	"bmi"	4	3	19	8	11	       0.2093137	      -3.2685966	      -2.8036851	       0.8121809	      -2.8910044
All	Women	1	Underweight	"bmi"	1	0	19	2	17	       0.4044254	      -3.5397861	      -3.5397861	       0.0000000	      -3.5397861
All	Women	1	Underweight	"bmi"	2	1	19	4	15	       0.3046404	      -3.5131804	      -3.3582099	       0.2467328	      -3.4749441
All	Women	1	Underweight	"bmi"	3	2	19	6	13	       0.0998683	      -4.3185188	      -4.0085778	       0.8560746	      -4.0531862
All	Women	1	Underweight	"bmi"	4	3	19	8	11	       0.0623659	      -4.4794113	      -4.0144999	       0.8560746	      -4.0814125
All	Women	2	Underweight	"bmi"	1	0	19	2	17	       0.2688124	      -3.9482396	      -3.9482396	       0.0000000	      -3.9482396
All	Women	2	Underweight	"bmi"	2	1	19	4	15	       0.2179173	      -3.8481969	      -3.6932264	       0.1893333	      -3.8188559
All	Women	2	Underweight	"bmi"	3	2	19	6	13	       0.1508175	      -3.9063006	      -3.5963597	       0.7216625	      -3.6826279
All	Women	2	Underweight	"bmi"	4	3	19	8	11	       0.0956766	      -4.0514569	      -3.5865455	       0.9910012	      -3.5907291
All	Women	3	Underweight	"bmi"	1	0	19	2	17	       0.5216624	      -3.2852328	      -3.2852328	       0.0000000	      -3.2852328
All	Women	3	Underweight	"bmi"	2	1	19	4	15	       0.3440198	      -3.3916131	      -3.2366427	       0.3405317	      -3.3388408
All	Women	3	Underweight	"bmi"	3	2	19	6	13	       0.1831527	      -3.7120512	      -3.4021103	       0.8835597	      -3.4381999
All	Women	3	Underweight	"bmi"	4	3	19	8	11	       0.1386261	      -3.6806501	      -3.2157387	       0.8835597	      -3.2698732
All	Women	4	Underweight	"bmi"	1	0	19	2	17	       0.3269734	      -3.7523744	      -3.7523744	       0.0000000	      -3.7523744
All	Women	4	Underweight	"bmi"	2	1	19	4	15	       0.2854307	      -3.5783132	      -3.4233427	       0.1270524	      -3.5586238
All	Women	4	Underweight	"bmi"	3	2	19	6	13	       0.2170281	      -3.5423444	      -3.2324035	       0.8176072	      -3.2889345
All	Women	4	Underweight	"bmi"	4	3	19	8	11	       0.1034154	      -3.9736766	      -3.5087651	       0.8176072	      -3.5935616
All	Women	5	Underweight	"bmi"	1	0	19	2	17	       0.3104543	      -3.8042165	      -3.8042165	       0.0000000	      -3.8042165
All	Women	5	Underweight	"bmi"	2	1	19	4	15	       0.1435268	      -4.2657904	      -4.1108199	       0.5376878	      -4.1824646
All	Women	5	Underweight	"bmi"	3	2	19	6	13	       0.1075504	      -4.2444120	      -3.9344710	       0.4025134	      -4.1196566
All	Women	5	Underweight	"bmi"	4	3	19	8	11	       0.0656520	      -4.4280620	      -3.9631506	       0.9780027	      -3.9733774
All	Men	1	Below Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0017234	      -7.3291406	      -7.3291406	       0.0000000	      -7.3291406
All	Men	2	Below Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0016701	      -7.3605487	      -7.3605487	       0.0000000	      -7.3605487
All	Men	3	Below Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0024176	      -6.9906565	      -6.9906565	       0.0000000	      -6.9906565
All	Men	4	Below Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0032251	      -6.7024679	      -6.7024679	       0.0000000	      -6.7024679
All	Men	5	Below Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0018783	      -7.2430621	      -7.2430621	       0.0000000	      -7.2430621
All	Women	1	Below Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0008465	      -8.0400071	      -8.0400071	       0.0000000	      -8.0400071
All	Women	2	Below Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0004729	      -8.6222207	      -8.6222207	       0.0000000	      -8.6222207
All	Women	3	Below Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0002262	      -9.3597583	      -9.3597583	       0.0000000	      -9.3597583
All	Women	4	Below Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0017704	      -7.3022346	      -7.3022346	       0.0000000	      -7.3022346
All	Women	5	Below Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0010928	      -7.7847199	      -7.7847199	       0.0000000	      -7.7847199
All	Men	1	Meets Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0067007	      -5.9712076	      -5.9712076	       0.0000000	      -5.9712076
All	Men	2	Meets Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0049028	      -6.2836199	      -6.2836199	       0.0000000	      -6.2836199
All	Men	3	Meets Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0056441	      -6.1428147	      -6.1428147	       0.0000000	      -6.1428147
All	Men	4	Meets Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0074213	      -5.8690653	      -5.8690653	       0.0000000	      -5.8690653
All	Men	5	Meets Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0057741	      -6.1200376	      -6.1200376	       0.0000000	      -6.1200376
All	Women	1	Meets Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0068399	      -5.9506488	      -5.9506488	       0.0000000	      -5.9506488
All	Women	2	Meets Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0049408	      -6.2758967	      -6.2758967	       0.0000000	      -6.2758967
All	Women	3	Meets Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0017694	      -7.3027702	      -7.3027702	       0.0000000	      -7.3027702
All	Women	4	Meets Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0146442	      -5.1893715	      -5.1893715	       0.0000000	      -5.1893715
All	Women	5	Meets Recommendations	"physical_activity_old"	1	0	5	2	3	       0.0100655	      -5.5643068	      -5.5643068	       0.0000000	      -5.5643068
All	Men	1	Current	"smoking_status"	1	0	19	2	17	       0.0235241	      -6.3842275	      -6.3842275	       0.0000000	      -6.3842275
All	Men	1	Current	"smoking_status"	2	1	19	4	15	       0.0211011	      -6.1829872	      -6.0280167	       0.1030011	      -6.1670251
All	Men	1	Current	"smoking_status"	3	2	19	6	13	       0.0151022	      -6.2075330	      -5.8975920	       0.6738678	      -5.9986738
All	Men	1	Current	"smoking_status"	4	3	19	8	11	       0.0114962	      -6.1704138	      -5.7055024	       0.7843812	      -5.8057460
All	Men	2	Current	"smoking_status"	1	0	19	2	17	       0.0384808	      -5.8920940	      -5.8920940	       0.0000000	      -5.8920940
All	Men	2	Current	"smoking_status"	2	1	19	4	15	       0.0158298	      -6.4704179	      -6.3154474	       0.5886311	      -6.3791974
All	Men	2	Current	"smoking_status"	3	2	19	6	13	       0.0071660	      -6.9530226	      -6.6430817	       0.7700023	      -6.7143674
All	Men	2	Current	"smoking_status"	4	3	19	8	11	       0.0062697	      -6.7767065	      -6.3117951	       0.7255517	      -6.4393893
All	Men	3	Current	"smoking_status"	1	0	19	2	17	       0.0572823	      -5.4942608	      -5.4942608	       0.0000000	      -5.4942608
All	Men	3	Current	"smoking_status"	2	1	19	4	15	       0.0300440	      -5.8296510	      -5.6746805	       0.4755112	      -5.7559608
All	Men	3	Current	"smoking_status"	3	2	19	6	13	       0.0255462	      -5.6818843	      -5.3719434	       0.9015331	      -5.4024623
All	Men	3	Current	"smoking_status"	4	3	19	8	11	       0.0127019	      -6.0706820	      -5.6057706	       0.9219636	      -5.6420506
All	Men	4	Current	"smoking_status"	1	0	19	2	17	       0.0581816	      -5.4786836	      -5.4786836	       0.0000000	      -5.4786836
All	Men	4	Current	"smoking_status"	2	1	19	4	15	       0.0109711	      -6.8370433	      -6.6820729	       0.8114328	      -6.7112952
All	Men	4	Current	"smoking_status"	3	2	19	6	13	       0.0033392	      -7.7166411	      -7.4067001	       0.8383883	      -7.4567902
All	Men	4	Current	"smoking_status"	4	3	19	8	11	       0.0026569	      -7.6352694	      -7.1703580	       0.8067254	      -7.2602136
All	Men	5	Current	"smoking_status"	1	0	19	2	17	       0.0438984	      -5.7603749	      -5.7603749	       0.0000000	      -5.7603749
All	Men	5	Current	"smoking_status"	2	1	19	4	15	       0.0107268	      -6.8595665	      -6.7045960	       0.7556448	      -6.7424639
All	Men	5	Current	"smoking_status"	3	2	19	6	13	       0.0080714	      -6.8340413	      -6.5241004	       0.7331313	      -6.6068139
All	Men	5	Current	"smoking_status"	4	3	19	8	11	       0.0069189	      -6.6781720	      -6.2132605	       0.6808115	      -6.3616549
All	Women	1	Current	"smoking_status"	1	0	19	2	17	       0.0393515	      -5.8697194	      -5.8697194	       0.0000000	      -5.8697194
All	Women	1	Current	"smoking_status"	2	1	19	4	15	       0.0191279	      -6.2811631	      -6.1261927	       0.5139213	      -6.2015205
All	Women	1	Current	"smoking_status"	3	2	19	6	13	       0.0103642	      -6.5840110	      -6.2740700	       0.6732479	      -6.3753439
All	Women	1	Current	"smoking_status"	4	3	19	8	11	       0.0072418	      -6.6325548	      -6.1676433	       0.9507957	      -6.1905190
All	Women	2	Current	"smoking_status"	1	0	19	2	17	       0.0107178	      -7.1703499	      -7.1703499	       0.0000000	      -7.1703499
All	Women	2	Current	"smoking_status"	2	1	19	4	15	       0.0099869	      -6.9310408	      -6.7760703	       0.0681951	      -6.9204726
All	Women	2	Current	"smoking_status"	3	2	19	6	13	       0.0071409	      -6.9565367	      -6.6465957	       0.4941957	      -6.8033652
All	Women	2	Current	"smoking_status"	4	3	19	8	11	       0.0048484	      -7.0337825	      -6.5688711	       0.9084461	      -6.6114356
All	Women	3	Current	"smoking_status"	1	0	19	2	17	       0.0291225	      -6.1707412	      -6.1707412	       0.0000000	      -6.1707412
All	Women	3	Current	"smoking_status"	2	1	19	4	15	       0.0215795	      -6.1605688	      -6.0055983	       0.2590103	      -6.1204298
All	Women	3	Current	"smoking_status"	3	2	19	6	13	       0.0117326	      -6.4600028	      -6.1500619	       0.6259224	      -6.2660038
All	Women	3	Current	"smoking_status"	4	3	19	8	11	       0.0088171	      -6.4357361	      -5.9708247	       0.7827443	      -6.0718293
All	Women	4	Current	"smoking_status"	1	0	19	2	17	       0.0147971	      -6.8478245	      -6.8478245	       0.0000000	      -6.8478245
All	Women	4	Current	"smoking_status"	2	1	19	4	15	       0.0132244	      -6.6502487	      -6.4952782	       0.1062821	      -6.6337781
All	Women	4	Current	"smoking_status"	3	2	19	6	13	       0.0079363	      -6.8509279	      -6.5409870	       0.5288930	      -6.6870024
All	Women	4	Current	"smoking_status"	4	3	19	8	11	       0.0042149	      -7.1738093	      -6.7088978	       0.7207201	      -6.8387383
All	Women	5	Current	"smoking_status"	1	0	19	2	17	       0.0233432	      -6.3919461	      -6.3919461	       0.0000000	      -6.3919461
All	Women	5	Current	"smoking_status"	2	1	19	4	15	       0.0113897	      -6.7996030	      -6.6446325	       0.5120771	      -6.7202461
All	Women	5	Current	"smoking_status"	3	2	19	6	13	       0.0079114	      -6.8540624	      -6.5441214	       0.9790980	      -6.5505998
All	Women	5	Current	"smoking_status"	4	3	19	8	11	       0.0040267	      -7.2194907	      -6.7545793	       0.9597449	      -6.7732944
All	Men	1	Never	"smoking_status"	1	0	19	2	17	       0.0125652	      -7.0113245	      -7.0113245	       0.0000000	      -7.0113245
All	Men	1	Never	"smoking_status"	2	1	19	4	15	       0.0017531	      -8.6709542	      -8.5159838	       0.8604833	      -8.5376047
All	Men	1	Never	"smoking_status"	3	2	19	6	13	       0.0008965	      -9.0316736	      -8.7217327	       0.9084493	      -8.7501080
All	Men	1	Never	"smoking_status"	4	3	19	8	11	       0.0005095	      -9.2867970	      -8.8218856	       0.9408772	      -8.8493725
All	Men	2	Never	"smoking_status"	1	0	19	2	17	       0.0074414	      -7.5351994	      -7.5351994	       0.0000000	      -7.5351994
All	Men	2	Never	"smoking_status"	2	1	19	4	15	       0.0058475	      -7.4663038	      -7.3113333	       0.2141940	      -7.4331101
All	Men	2	Never	"smoking_status"	3	2	19	6	13	       0.0027764	      -7.9012341	      -7.5912932	       0.9048717	      -7.6207773
All	Men	2	Never	"smoking_status"	4	3	19	8	11	       0.0010187	      -8.5938543	      -8.1289429	       0.8736773	      -8.1876718
All	Men	3	Never	"smoking_status"	1	0	19	2	17	       0.0123805	      -7.0261299	      -7.0261299	       0.0000000	      -7.0261299
All	Men	3	Never	"smoking_status"	2	1	19	4	15	       0.0086991	      -7.0690891	      -6.9141186	       0.2973527	      -7.0230082
All	Men	3	Never	"smoking_status"	3	2	19	6	13	       0.0069777	      -6.9796480	      -6.6697071	       0.8606415	      -6.7129000
All	Men	3	Never	"smoking_status"	4	3	19	8	11	       0.0011410	      -8.4805410	      -8.0156295	       0.8922606	      -8.0657188
All	Men	4	Never	"smoking_status"	1	0	19	2	17	       0.0102349	      -7.2164461	      -7.2164461	       0.0000000	      -7.2164461
All	Men	4	Never	"smoking_status"	2	1	19	4	15	       0.0033703	      -8.0173046	      -7.8623341	       0.6707044	      -7.9133652
All	Men	4	Never	"smoking_status"	3	2	19	6	13	       0.0025097	      -8.0022087	      -7.6922677	       0.4232270	      -7.8710333
All	Men	4	Never	"smoking_status"	4	3	19	8	11	       0.0020437	      -7.8976651	      -7.4327537	       0.8703846	      -7.4930134
All	Men	5	Never	"smoking_status"	1	0	19	2	17	       0.0111646	      -7.1295041	      -7.1295041	       0.0000000	      -7.1295041
All	Men	5	Never	"smoking_status"	2	1	19	4	15	       0.0071308	      -7.2678882	      -7.1129177	       0.3613030	      -7.2118969
All	Men	5	Never	"smoking_status"	3	2	19	6	13	       0.0030327	      -7.8129282	      -7.5029873	       0.9198441	      -7.5278309
All	Men	5	Never	"smoking_status"	4	3	19	8	11	       0.0028620	      -7.5608979	      -7.0959865	       0.9203621	      -7.1330111
All	Women	1	Never	"smoking_status"	1	0	19	2	17	       0.0009705	      -9.5722476	      -9.5722476	       0.0000000	      -9.5722476
All	Women	1	Never	"smoking_status"	2	1	19	4	15	       0.0008479	      -9.3972696	      -9.2422991	       0.1262517	      -9.3777043
All	Women	1	Never	"smoking_status"	3	2	19	6	13	       0.0007323	      -9.2338791	      -8.9239381	       0.4814325	      -9.0846634
All	Women	1	Never	"smoking_status"	4	3	19	8	11	       0.0006115	      -9.1041985	      -8.6392871	       0.9273695	      -8.6730538
All	Women	2	Never	"smoking_status"	1	0	19	2	17	       0.0033297	      -8.3393687	      -8.3393687	       0.0000000	      -8.3393687
All	Women	2	Never	"smoking_status"	2	1	19	4	15	       0.0007739	      -9.4886079	      -9.3336374	       0.7675732	      -9.3696567
All	Women	2	Never	"smoking_status"	3	2	19	6	13	       0.0007571	      -9.2006803	      -8.8907393	       0.7343418	      -8.9730777
All	Women	2	Never	"smoking_status"	4	3	19	8	11	       0.0006223	      -9.0867269	      -8.6218155	       0.7343418	      -8.7453230
All	Women	3	Never	"smoking_status"	1	0	19	2	17	       0.0073825	      -7.5431371	      -7.5431371	       0.0000000	      -7.5431371
All	Women	3	Never	"smoking_status"	2	1	19	4	15	       0.0059555	      -7.4479934	      -7.2930229	       0.1932950	      -7.4180384
All	Women	3	Never	"smoking_status"	3	2	19	6	13	       0.0034433	      -7.6859341	      -7.3759932	       0.8156901	      -7.4331183
All	Women	3	Never	"smoking_status"	4	3	19	8	11	       0.0019294	      -7.9552240	      -7.4903126	       0.9126490	      -7.5309230
All	Women	4	Never	"smoking_status"	1	0	19	2	17	       0.0041723	      -8.1137966	      -8.1137966	       0.0000000	      -8.1137966
All	Women	4	Never	"smoking_status"	2	1	19	4	15	       0.0036352	      -7.9416430	      -7.7866726	       0.1287160	      -7.9216958
All	Women	4	Never	"smoking_status"	3	2	19	6	13	       0.0022290	      -8.1208062	      -7.8108652	       0.8100918	      -7.8697256
All	Women	4	Never	"smoking_status"	4	3	19	8	11	       0.0019804	      -7.9291523	      -7.4642409	       0.8100918	      -7.5525314
All	Women	5	Never	"smoking_status"	1	0	19	2	17	       0.0123577	      -7.0279715	      -7.0279715	       0.0000000	      -7.0279715
All	Women	5	Never	"smoking_status"	2	1	19	4	15	       0.0112201	      -6.8146076	      -6.6596371	       0.0920601	      -6.8003410
All	Women	5	Never	"smoking_status"	3	2	19	6	13	       0.0056474	      -7.1911788	      -6.8812378	       0.8878816	      -6.9159879
All	Women	5	Never	"smoking_status"	4	3	19	8	11	       0.0015924	      -8.1471836	      -7.6822721	       0.9687922	      -7.6967810
All	Men	1	Previously	"smoking_status"	1	0	19	2	17	       0.0248582	      -6.3290643	      -6.3290643	       0.0000000	      -6.3290643
All	Men	1	Previously	"smoking_status"	2	1	19	4	15	       0.0068241	      -7.3118537	      -7.1568832	       0.7254798	      -7.1994258
All	Men	1	Previously	"smoking_status"	3	2	19	6	13	       0.0037519	      -7.6001074	      -7.2901664	       0.8229226	      -7.3450500
All	Men	1	Previously	"smoking_status"	4	3	19	8	11	       0.0012889	      -8.3586384	      -7.8937269	       0.9803307	      -7.9028714
All	Men	2	Previously	"smoking_status"	1	0	19	2	17	       0.0107327	      -7.1689571	      -7.1689571	       0.0000000	      -7.1689571
All	Men	2	Previously	"smoking_status"	2	1	19	4	15	       0.0086229	      -7.0778870	      -6.9229165	       0.1965745	      -7.0474237
All	Men	2	Previously	"smoking_status"	3	2	19	6	13	       0.0055321	      -7.2117999	      -6.9018589	       0.8523840	      -6.9476112
All	Men	2	Previously	"smoking_status"	4	3	19	8	11	       0.0019805	      -7.9291033	      -7.4641919	       0.8523840	      -7.5328203
All	Men	3	Previously	"smoking_status"	1	0	19	2	17	       0.0122288	      -7.0384575	      -7.0384575	       0.0000000	      -7.0384575
All	Men	3	Previously	"smoking_status"	2	1	19	4	15	       0.0046949	      -7.6858429	      -7.5308725	       0.6160820	      -7.5903684
All	Men	3	Previously	"smoking_status"	3	2	19	6	13	       0.0025935	      -7.9693659	      -7.6594250	       0.7731679	      -7.7297295
All	Men	3	Previously	"smoking_status"	4	3	19	8	11	       0.0015719	      -8.1601671	      -7.6952557	       0.9173550	      -7.7336783
All	Men	4	Previously	"smoking_status"	1	0	19	2	17	       0.0119203	      -7.0640119	      -7.0640119	       0.0000000	      -7.0640119
All	Men	4	Previously	"smoking_status"	2	1	19	4	15	       0.0085842	      -7.0823833	      -6.9274129	       0.2798620	      -7.0390130
All	Men	4	Previously	"smoking_status"	3	2	19	6	13	       0.0074734	      -6.9110279	      -6.6010870	       0.1799961	      -6.8552398
All	Men	4	Previously	"smoking_status"	4	3	19	8	11	       0.0030403	      -7.5004724	      -7.0355610	       0.8120718	      -7.1229309
All	Men	5	Previously	"smoking_status"	1	0	19	2	17	       0.0881371	      -5.0633592	      -5.0633592	       0.0000000	      -5.0633592
All	Men	5	Previously	"smoking_status"	2	1	19	4	15	       0.0145301	      -6.5560872	      -6.4011167	       0.8351417	      -6.4266649
All	Men	5	Previously	"smoking_status"	3	2	19	6	13	       0.0074478	      -6.9144592	      -6.6045183	       0.8391895	      -6.6543600
All	Men	5	Previously	"smoking_status"	4	3	19	8	11	       0.0050294	      -6.9971266	      -6.5322152	       0.9429742	      -6.5587271
All	Women	1	Previously	"smoking_status"	1	0	19	2	17	       0.0182428	      -6.6384821	      -6.6384821	       0.0000000	      -6.6384821
All	Women	1	Previously	"smoking_status"	2	1	19	4	15	       0.0087607	      -7.0620317	      -6.9070612	       0.5197702	      -6.9814827
All	Women	1	Previously	"smoking_status"	3	2	19	6	13	       0.0036914	      -7.6163783	      -7.3064374	       0.8610782	      -7.3494949
All	Women	1	Previously	"smoking_status"	4	3	19	8	11	       0.0032122	      -7.4454833	      -6.9805718	       0.8781793	      -7.0372077
All	Women	2	Previously	"smoking_status"	1	0	19	2	17	       0.0115467	      -7.0958543	      -7.0958543	       0.0000000	      -7.0958543
All	Women	2	Previously	"smoking_status"	2	1	19	4	15	       0.0077654	      -7.1826387	      -7.0276682	       0.3274813	      -7.1318888
All	Women	2	Previously	"smoking_status"	3	2	19	6	13	       0.0071138	      -6.9603306	      -6.6503897	       0.3788210	      -6.8429185
All	Women	2	Previously	"smoking_status"	4	3	19	8	11	       0.0059876	      -6.8227448	      -6.3578334	       0.8963198	      -6.4060355
All	Women	3	Previously	"smoking_status"	1	0	19	2	17	       0.0289011	      -6.1783747	      -6.1783747	       0.0000000	      -6.1783747
All	Women	3	Previously	"smoking_status"	2	1	19	4	15	       0.0157051	      -6.4783244	      -6.3233539	       0.4565897	      -6.4075665
All	Women	3	Previously	"smoking_status"	3	2	19	6	13	       0.0127898	      -6.3737199	      -6.0637789	       0.6429532	      -6.1744423
All	Women	3	Previously	"smoking_status"	4	3	19	8	11	       0.0072436	      -6.6323074	      -6.1673960	       0.6429532	      -6.3333911
All	Women	4	Previously	"smoking_status"	1	0	19	2	17	       0.0298650	      -6.1455656	      -6.1455656	       0.0000000	      -6.1455656
All	Women	4	Previously	"smoking_status"	2	1	19	4	15	       0.0235779	      -6.0720014	      -5.9170310	       0.2105168	      -6.0393775
All	Women	4	Previously	"smoking_status"	3	2	19	6	13	       0.0141225	      -6.2746026	      -5.9646617	       0.8460948	      -6.0123632
All	Women	4	Previously	"smoking_status"	4	3	19	8	11	       0.0122052	      -6.1105652	      -5.6456538	       0.8322847	      -5.7236266
All	Women	5	Previously	"smoking_status"	1	0	19	2	17	       0.0294231	      -6.1604720	      -6.1604720	       0.0000000	      -6.1604720
All	Women	5	Previously	"smoking_status"	2	1	19	4	15	       0.0191336	      -6.2808657	      -6.1258952	       0.3497086	      -6.2266712
All	Women	5	Previously	"smoking_status"	3	2	19	6	13	       0.0082635	      -6.8105279	      -6.5005870	       0.7997875	      -6.5626411
All	Women	5	Previously	"smoking_status"	4	3	19	8	11	       0.0070779	      -6.6554468	      -6.1905353	       0.7776897	      -6.2938899
