"age_group"	"sex"	"imd"	"level"	"variable"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
All	Men	2	Moderate Drinker	"alcohol_amt"	1	0	9	2	7	       0.0042652	      -7.1662104	      -7.1662104	       0.0000000	      -7.1662104
All	Men	2	Moderate Drinker	"alcohol_amt"	2	1	9	4	5	       0.0011112	      -8.0230377	      -7.7789016	       0.7394861	      -7.8425024
All	Men	3	Moderate Drinker	"alcohol_amt"	1	0	9	2	7	       0.0021009	      -7.8743360	      -7.8743360	       0.0000000	      -7.8743360
All	Men	3	Moderate Drinker	"alcohol_amt"	2	1	9	4	5	       0.0016326	      -7.6382723	      -7.3941362	       0.2229172	      -7.5838502
All	Men	4	Moderate Drinker	"alcohol_amt"	1	0	9	2	7	       0.0016010	      -8.1460592	      -8.1460592	       0.0000000	      -8.1460592
All	Men	4	Moderate Drinker	"alcohol_amt"	2	1	9	4	5	       0.0014386	      -7.7647716	      -7.5206355	       0.1014604	      -7.7400014
All	Men	5	Moderate Drinker	"alcohol_amt"	1	0	9	2	7	       0.0028118	      -7.5828890	      -7.5828890	       0.0000000	      -7.5828890
All	Men	5	Moderate Drinker	"alcohol_amt"	2	1	9	4	5	       0.0019427	      -7.4643516	      -7.2202155	       0.3090823	      -7.3888934
All	Women	1	Moderate Drinker	"alcohol_amt"	1	0	9	2	7	       0.0030751	      -7.4933811	      -7.4933811	       0.0000000	      -7.4933811
All	Women	1	Moderate Drinker	"alcohol_amt"	2	1	9	4	5	       0.0010639	      -8.0664757	      -7.8223396	       0.6540171	      -7.9068065
All	Women	2	Moderate Drinker	"alcohol_amt"	1	0	9	2	7	       0.0352381	      -5.0545795	      -5.0545795	       0.0000000	      -5.0545795
All	Women	2	Moderate Drinker	"alcohol_amt"	2	1	9	4	5	       0.0039421	      -6.7567289	      -6.5125929	       0.8881304	      -6.5399043
All	Women	3	Moderate Drinker	"alcohol_amt"	1	0	9	2	7	       0.0057734	      -6.8634475	      -6.8634475	       0.0000000	      -6.8634475
All	Women	3	Moderate Drinker	"alcohol_amt"	2	1	9	4	5	       0.0040635	      -6.7263877	      -6.4822517	       0.2961656	      -6.6540830
All	Women	4	Moderate Drinker	"alcohol_amt"	1	0	9	2	7	       0.0083567	      -6.4936399	      -6.4936399	       0.0000000	      -6.4936399
All	Women	4	Moderate Drinker	"alcohol_amt"	2	1	9	4	5	       0.0030969	      -6.9980216	      -6.7538855	       0.6294080	      -6.8443604
All	Women	5	Moderate Drinker	"alcohol_amt"	1	0	9	2	7	       0.0052467	      -6.9591078	      -6.9591078	       0.0000000	      -6.9591078
All	Women	5	Moderate Drinker	"alcohol_amt"	2	1	9	4	5	       0.0005509	      -8.7245850	      -8.4804489	       0.8949948	      -8.5060845
All	Men	1	Non-Drinker	"alcohol_amt"	1	0	9	2	7	       0.0119007	      -6.1401133	      -6.1401133	       0.0000000	      -6.1401133
