"age_group"	"sex"	"level"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
11-15 years	Girls	Overweight including obese	3	2	25	6	19	       0.1066334	      -4.6847043	      -4.4271942	       0.5407095	      -4.5454661
11-15 years	Girls	Overweight including obese	4	3	25	8	17	       0.0929180	      -4.5648736	      -4.1786085	       0.6843528	      -4.3005320
11-15 years	Girls	Overweight including obese	5	4	25	10	15	       0.0869269	      -4.3740135	      -3.8589933	       0.6843528	      -4.0215580
2-10 years	All children	Obese	1	0	25	2	23	       0.4455797	      -3.7697449	      -3.7697449	       0.0000000	      -3.7697449
2-10 years	All children	Obese	2	1	25	4	21	       0.1868865	      -4.3811094	      -4.2523544	       0.5805767	      -4.3063573
2-10 years	All children	Obese	3	2	25	6	19	       0.1551901	      -4.3094503	      -4.0519402	       0.6927877	      -4.1310505
2-10 years	All children	Obese	4	3	25	8	17	       0.1429548	      -4.1340621	      -3.7477970	       0.6927877	      -3.8664623
2-10 years	All children	Obese	5	4	25	10	15	       0.1375830	      -3.9148535	      -3.3998334	       0.5347619	      -3.6394404
2-10 years	All children	Overweight	1	0	25	2	23	       0.1105838	      -5.1633470	      -5.1633470	       0.0000000	      -5.1633470
2-10 years	All children	Overweight	2	1	25	4	21	       0.0714275	      -5.3429277	      -5.2141726	       0.3540872	      -5.2973372
2-10 years	All children	Overweight	3	2	25	6	19	       0.0686569	      -5.1249789	      -4.8674689	       0.3805421	      -5.0269855
2-10 years	All children	Overweight	4	3	25	8	17	       0.0656102	      -4.9128596	      -4.5265945	       0.4528641	      -4.7379340
2-10 years	All children	Overweight	5	4	25	10	15	       0.0599057	      -4.7463092	      -4.2312890	       0.4528641	      -4.5130750
2-10 years	All children	Overweight including obese	1	0	25	2	23	       0.1954192	      -4.5939739	      -4.5939739	       0.0000000	      -4.5939739
2-10 years	All children	Overweight including obese	2	1	25	4	21	       0.0733563	      -5.3162829	      -5.1875279	       0.6246210	      -5.2358598
2-10 years	All children	Overweight including obese	3	2	25	6	19	       0.0649403	      -5.1806319	      -4.9231219	       0.7502396	      -4.9874377
2-10 years	All children	Overweight including obese	4	3	25	8	17	       0.0601699	      -4.9994180	      -4.6131529	       0.7502396	      -4.7096266
2-10 years	All children	Overweight including obese	5	4	25	10	15	       0.0577702	      -4.7826070	      -4.2675869	       0.6772900	      -4.4337890
2-10 years	Boys	Obese	1	0	25	2	23	       0.6240989	      -3.4328121	      -3.4328121	       0.0000000	      -3.4328121
2-10 years	Boys	Obese	2	1	25	4	21	       0.3653954	      -3.7106309	      -3.5818758	       0.4145232	      -3.6572589
2-10 years	Boys	Obese	3	2	25	6	19	       0.2484884	      -3.8387048	      -3.5811948	       0.7545431	      -3.6444024
2-10 years	Boys	Obese	4	3	25	8	17	       0.2287336	      -3.6640327	      -3.2777676	       0.8286497	      -3.3439543
2-10 years	Boys	Obese	5	4	25	10	15	       0.2247936	      -3.4238980	      -2.9088779	       0.8286497	      -2.9971267
2-10 years	Boys	Overweight	1	0	25	2	23	       0.2186479	      -4.4816584	      -4.4816584	       0.0000000	      -4.4816584
2-10 years	Boys	Overweight	2	1	25	4	21	       0.1603118	      -4.5344903	      -4.4057353	       0.2668039	      -4.5001380
2-10 years	Boys	Overweight	3	2	25	6	19	       0.1543976	      -4.3145695	      -4.0570595	       0.1713424	      -4.2704471
2-10 years	Boys	Overweight	4	3	25	8	17	       0.1374205	      -4.1735453	      -3.7872802	       0.4468711	      -4.0009346
2-10 years	Boys	Overweight	5	4	25	10	15	       0.1360132	      -3.9263291	      -3.4113089	       0.4468711	      -3.6961814
2-10 years	Boys	Overweight including obese	1	0	25	2	23	       0.2633059	      -4.2958044	      -4.2958044	       0.0000000	      -4.2958044
2-10 years	Boys	Overweight including obese	2	1	25	4	21	       0.1379957	      -4.6843882	      -4.5556331	       0.4759110	      -4.6231122
2-10 years	Boys	Overweight including obese	3	2	25	6	19	       0.1230585	      -4.5414411	      -4.2839310	       0.7034477	      -4.3602962
2-10 years	Boys	Overweight including obese	4	3	25	8	17	       0.1168328	      -4.3358468	      -3.9495817	       0.3570942	      -4.1979138
2-10 years	Boys	Overweight including obese	5	4	25	10	15	       0.1144331	      -4.0990907	      -3.5840705	       0.3226892	      -3.9328992
2-10 years	Girls	Obese	1	0	25	2	23	       0.6606889	      -3.3758379	      -3.3758379	       0.0000000	      -3.3758379
2-10 years	Girls	Obese	2	1	25	4	21	       0.3495766	      -3.7548882	      -3.6261332	       0.4708907	      -3.6942586
2-10 years	Girls	Obese	3	2	25	6	19	       0.2755252	      -3.7354219	      -3.4779118	       0.4377961	      -3.6226850
2-10 years	Girls	Obese	4	3	25	8	17	       0.2611180	      -3.5316184	      -3.1453533	       0.4676165	      -3.3509945
2-10 years	Girls	Obese	5	4	25	10	15	       0.2430230	      -3.3459247	      -2.8309046	       0.4676165	      -3.1050928
2-10 years	Girls	Overweight	1	0	25	2	23	       0.3221284	      -4.0941709	      -4.0941709	       0.0000000	      -4.0941709
2-10 years	Girls	Overweight	2	1	25	4	21	       0.2868080	      -3.9527979	      -3.8240428	       0.1096468	      -3.9386803
2-10 years	Girls	Overweight	3	2	25	6	19	       0.2283002	      -3.9234393	      -3.6659292	       0.5156607	      -3.7906515
2-10 years	Girls	Overweight	4	3	25	8	17	       0.2046952	      -3.7750690	      -3.3888039	       0.5812884	      -3.5505376
2-10 years	Girls	Overweight	5	4	25	10	15	       0.1662295	      -3.7257113	      -3.2106912	       0.5812884	      -3.4263361
2-10 years	Girls	Overweight including obese	1	0	25	2	23	       0.1993963	      -4.5738267	      -4.5738267	       0.0000000	      -4.5738267
2-10 years	Girls	Overweight including obese	2	1	25	4	21	       0.0774383	      -5.2621292	      -5.1333742	       0.6116361	      -5.1833780
2-10 years	Girls	Overweight including obese	3	2	25	6	19	       0.0736641	      -5.0545856	      -4.7970755	       0.6103152	      -4.8974233
2-10 years	Girls	Overweight including obese	4	3	25	8	17	       0.0623793	      -4.9633567	      -4.5770916	       0.6413108	      -4.7156407
2-10 years	Girls	Overweight including obese	5	4	25	10	15	       0.0604360	      -4.7374966	      -4.2224765	       0.6413108	      -4.4072086
2-15 years	All children	Obese	1	0	25	2	23	       0.2910388	      -4.1956644	      -4.1956644	       0.0000000	      -4.1956644
2-15 years	All children	Obese	2	1	25	4	21	       0.0967691	      -5.0392827	      -4.9105277	       0.6675043	      -4.9533382
2-15 years	All children	Obese	3	2	25	6	19	       0.0639331	      -5.1962635	      -4.9387534	       0.8590552	      -4.9750481
2-15 years	All children	Obese	4	3	25	8	17	       0.0618882	      -4.9712614	      -4.5849963	       0.7155681	      -4.6948624
2-15 years	All children	Obese	5	4	25	10	15	       0.0607710	      -4.7319676	      -4.2169475	       0.7155681	      -4.3634356
2-15 years	All children	Overweight	1	0	25	2	23	       0.0849041	      -5.4275984	      -5.4275984	       0.0000000	      -5.4275984
2-15 years	All children	Overweight	2	1	25	4	21	       0.0513167	      -5.6735938	      -5.5448388	       0.3955918	      -5.6226594
2-15 years	All children	Overweight	3	2	25	6	19	       0.0486833	      -5.4687649	      -5.2112549	       0.4169727	      -5.3613903
2-15 years	All children	Overweight	4	3	25	8	17	       0.0410461	      -5.3818940	      -4.9956289	       0.6986305	      -5.1120374
2-15 years	All children	Overweight	5	4	25	10	15	       0.0370495	      -5.2268260	      -4.7118059	       0.6986305	      -4.8670172
2-15 years	All children	Overweight including obese	1	0	25	2	23	       0.1337415	      -4.9732125	      -4.9732125	       0.0000000	      -4.9732125
2-15 years	All children	Overweight including obese	2	1	25	4	21	       0.0358449	      -6.0324103	      -5.9036553	       0.7319838	      -5.9381637
2-15 years	All children	Overweight including obese	3	2	25	6	19	       0.0267100	      -6.0690637	      -5.8115536	       0.7417481	      -5.8780561
2-15 years	All children	Overweight including obese	4	3	25	8	17	       0.0248049	      -5.8855488	      -5.4992837	       0.6636931	      -5.6291873
2-15 years	All children	Overweight including obese	5	4	25	10	15	       0.0240605	      -5.6585098	      -5.1434896	       0.7248091	      -5.2852185
2-15 years	Boys	Obese	1	0	25	2	23	       0.3424991	      -4.0328520	      -4.0328520	       0.0000000	      -4.0328520
