"age_group"	"sex"	"exposure"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
50+	Women	Current_Smoking_women	2	1	25	4	21	       0.0324974	      -6.1304512	      -6.0016962	       0.0277168	      -6.1268826
50+	Women	Current_Smoking_women	3	2	25	6	19	       0.0304885	      -5.9367525	      -5.6792424	       0.1755070	      -5.8915576
50+	Women	Current_Smoking_women	4	3	25	8	17	       0.0257142	      -5.8495490	      -5.4632839	       0.2840687	      -5.7398231
50+	Women	Current_Smoking_women	5	4	25	10	15	       0.0239607	      -5.6626663	      -5.1476462	       0.4116677	      -5.4506492
20-49	Men	Former_Smoking_men	1	0	25	2	23	       0.1104286	      -5.1647518	      -5.1647518	       0.0000000	      -5.1647518
20-49	Men	Former_Smoking_men	2	1	25	4	21	       0.0550329	      -5.6036805	      -5.4749255	       0.5016431	      -5.5390914
20-49	Men	Former_Smoking_men	3	2	25	6	19	       0.0357406	      -5.7778130	      -5.5203029	       0.6741379	      -5.6042157
20-49	Men	Former_Smoking_men	4	3	25	8	17	       0.0324087	      -5.6181650	      -5.2318999	       0.5237920	      -5.4158425
20-49	Men	Former_Smoking_men	5	4	25	10	15	       0.0302916	      -5.4282088	      -4.9131887	       0.5585313	      -5.1405540
50+	Men	Former_Smoking_men	1	0	25	2	23	       0.0215032	      -6.8009174	      -6.8009174	       0.0000000	      -6.8009174
50+	Men	Former_Smoking_men	2	1	25	4	21	       0.0183074	      -6.7043046	      -6.5755495	       0.1486204	      -6.6851689
50+	Men	Former_Smoking_men	3	2	25	6	19	       0.0135298	      -6.7492089	      -6.4916988	       0.4782787	      -6.6260473
50+	Men	Former_Smoking_men	4	3	25	8	17	       0.0132741	      -6.5107766	      -6.1245115	       0.6144843	      -6.2734227
50+	Men	Former_Smoking_men	5	4	25	10	15	       0.0125473	      -6.3095742	      -5.7945540	       0.6379198	      -5.9810326
20-49	Women	Former_Smoking_women	1	0	25	2	23	       0.0987695	      -5.2763317	      -5.2763317	       0.0000000	      -5.2763317
20-49	Women	Former_Smoking_women	2	1	25	4	21	       0.0697727	      -5.3663687	      -5.2376137	       0.2935812	      -5.3285686
20-49	Women	Former_Smoking_women	3	2	25	6	19	       0.0394504	      -5.6790556	      -5.4215456	       0.6093522	      -5.5221413
20-49	Women	Former_Smoking_women	4	3	25	8	17	       0.0380132	      -5.4586584	      -5.0723933	       0.6451809	      -5.2094475
20-49	Women	Former_Smoking_women	5	4	25	10	15	       0.0303673	      -5.4257144	      -4.9106943	       0.9627630	      -4.9298721
50+	Women	Former_Smoking_women	1	0	25	2	23	       0.0425417	      -6.1186363	      -6.1186363	       0.0000000	      -6.1186363
50+	Women	Former_Smoking_women	2	1	25	4	21	       0.0386172	      -5.9579140	      -5.8291590	       0.0922513	      -5.9460362
50+	Women	Former_Smoking_women	3	2	25	6	19	       0.0366722	      -5.7520828	      -5.4945728	       0.0997711	      -5.7263908
50+	Women	Former_Smoking_women	4	3	25	8	17	       0.0348717	      -5.5449147	      -5.1586496	       0.5265325	      -5.3415336
50+	Women	Former_Smoking_women	5	4	25	10	15	       0.0330729	      -5.3403659	      -4.8253458	       0.4625717	      -5.1021322
20-49	Men	Healthy Weight	1	0	21	2	19	       0.0490649	      -5.7691797	      -5.7691797	       0.0000000	      -5.7691797
20-49	Men	Healthy Weight	2	1	21	4	17	       0.0275415	      -6.0566759	      -5.9116986	       0.4386725	      -5.9930783
