"age_group"	"sex"	"level"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
50+	Women	Heavy Drinker	1	10	4	6	0.093953	0.015659	Uncorrelated	1	2012	2012	2014	-7.592964	34.671433	-0.218998	0.835311	0.001791	0.017198	0.104130	0.921114	-0.137446	0.027493	-4.999300	0.004107	0.000460	0.000000	0.000296	1.000000	0.000000	1.000000
20-49	Men	Light Drinker	0	10	2	8	0.004980	0.000623	Uncorrelated	0	NA	NA	NA	-26.716134	4.102927	-6.511482	0.000186	0.012894	0.002037	6.329402	0.000226	NA	NA	NA	NA	16.834009	-0.008358	0.000004	1.000000	-0.999998	1.000000
50+	Men	Light Drinker	0	10	2	8	0.020614	0.002577	Uncorrelated	0	NA	NA	NA	7.150068	8.347441	0.856558	0.416607	-0.003937	0.004145	-0.949960	0.369944	NA	NA	NA	NA	69.679769	-0.034598	0.000017	1.000000	-0.999998	1.000000
20-49	Women	Light Drinker	0	10	2	8	0.005632	0.000704	Uncorrelated	0	NA	NA	NA	3.316487	4.363299	0.760087	0.469008	-0.001900	0.002166	-0.876813	0.406147	NA	NA	NA	NA	19.038378	-0.009453	0.000005	1.000000	-0.999998	1.000000
50+	Women	Light Drinker	1	10	4	6	0.003164	0.000527	Uncorrelated	0	NA	NA	NA	32.691577	10.140239	3.223946	0.023363	-0.016528	0.005050	-3.272894	0.022128	NA	NA	NA	NA	102.824440	0.000000	66.629097	1.000000	0.000000	1.000000
50+	Women	Light Drinker	1	10	4	6	0.003164	0.000527	Uncorrelated	1	2012	2012	2017	-8.646381	8.162665	-1.059260	0.337947	0.004018	0.004049	0.992327	0.366602	0.020546	0.006473	3.174221	0.024698	0.000026	0.000000	0.000016	1.000000	0.000000	1.000000
20-49	Men	Meets Recommendations	0	5	2	3	0.005425	0.001808	Uncorrelated	0	NA	NA	NA	-42.127614	11.924996	-3.532715	0.038564	0.020626	0.005943	3.470642	0.040328	NA	NA	NA	NA	142.205518	-0.070869	0.000035	1.000000	-0.999999	1.000000
50+	Men	Meets Recommendations	0	5	2	3	0.012633	0.004211	Uncorrelated	0	NA	NA	NA	-37.980759	18.197763	-2.087111	0.128130	0.018281	0.009069	2.015732	0.137221	NA	NA	NA	NA	331.158571	-0.165034	0.000082	1.000000	-0.999999	1.000000
20-49	Women	Meets Recommendations	0	5	2	3	0.007267	0.002422	Uncorrelated	0	NA	NA	NA	-55.332996	13.801911	-4.009082	0.027843	0.027052	0.006878	3.933009	0.029272	NA	NA	NA	NA	190.492737	-0.094933	0.000047	1.000000	-0.999999	1.000000
50+	Women	Meets Recommendations	0	5	2	3	0.040793	0.013598	Uncorrelated	0	NA	NA	NA	-97.773036	32.700810	-2.989927	0.058134	0.047919	0.016297	2.940409	0.060490	NA	NA	NA	NA	1069.343003	-0.532912	0.000266	1.000000	-0.999999	1.000000
20-49	Men	Moderate Drinker	0	10	2	8	0.002515	0.000314	Uncorrelated	0	NA	NA	NA	45.280625	2.915484	15.531083	0.000000	-0.023046	0.001448	-15.919987	0.000000	NA	NA	NA	NA	8.500047	-0.004220	0.000002	1.000000	-0.999998	1.000000
50+	Men	Moderate Drinker	0	10	2	8	0.023707	0.002963	Uncorrelated	0	NA	NA	NA	7.071760	8.951694	0.789991	0.452311	-0.004058	0.004445	-0.913045	0.387907	NA	NA	NA	NA	80.132827	-0.039788	0.000020	1.000000	-0.999998	1.000000
20-49	Women	Moderate Drinker	0	10	2	8	0.029907	0.003738	Uncorrelated	0	NA	NA	NA	48.932350	10.054437	4.866742	0.001245	-0.025138	0.004992	-5.035449	0.001007	NA	NA	NA	NA	101.091705	-0.050194	0.000025	1.000000	-0.999998	1.000000
50+	Women	Moderate Drinker	1	10	4	6	0.005916	0.000986	Uncorrelated	0	NA	NA	NA	-92.087780	15.088762	-6.103070	0.001710	0.044936	0.007514	5.980071	0.001874	NA	NA	NA	NA	227.670748	0.000000	147.528119	1.000000	0.000000	1.000000
50+	Women	Moderate Drinker	1	10	4	6	0.005916	0.000986	Uncorrelated	1	2012	2012	2014	0.227314	12.146115	0.018715	0.985792	-0.000946	0.006025	-0.157035	0.881361	-0.045882	0.009631	-4.763821	0.005042	0.000056	0.000000	0.000036	1.000000	0.000000	1.000000
20-49	Men	Never	0	25	2	23	0.021360	0.000929	Uncorrelated	0	NA	NA	NA	-18.600241	1.696345	-10.964891	0.000000	0.008935	0.000845	10.571524	0.000000	NA	NA	NA	NA	2.877587	-0.001434	0.000001	1.000000	-0.999994	1.000000
50+	Men	Never	0	25	2	23	0.027093	0.001178	Uncorrelated	0	NA	NA	NA	-46.447089	1.910469	-24.311872	0.000000	0.022657	0.000952	23.802062	0.000000	NA	NA	NA	NA	3.649893	-0.001819	0.000001	1.000000	-0.999994	1.000000
20-49	Women	Never	0	25	2	23	0.009401	0.000409	Uncorrelated	0	NA	NA	NA	-21.500518	1.125373	-19.105234	0.000000	0.010432	0.000561	18.605265	0.000000	NA	NA	NA	NA	1.266465	-0.000631	0.000000	1.000000	-0.999994	1.000000
50+	Women	Never	0	25	2	23	0.011636	0.000506	Uncorrelated	0	NA	NA	NA	-13.176784	1.252060	-10.524084	0.000000	0.006270	0.000624	10.050974	0.000000	NA	NA	NA	NA	1.567654	-0.000781	0.000000	1.000000	-0.999994	1.000000
20-49	Men	Non-Drinker	0	10	2	8	0.039225	0.004903	Uncorrelated	0	NA	NA	NA	-65.980143	11.514696	-5.730081	0.000439	0.031792	0.005717	5.560669	0.000534	NA	NA	NA	NA	132.588215	-0.065833	0.000033	1.000000	-0.999998	1.000000
50+	Men	Non-Drinker	0	10	2	8	0.048405	0.006051	Uncorrelated	0	NA	NA	NA	-42.870523	12.791315	-3.351534	0.010057	0.020280	0.006351	3.193026	0.012745	NA	NA	NA	NA	163.617728	-0.081240	0.000040	1.000000	-0.999998	1.000000
20-49	Women	Non-Drinker	0	10	2	8	0.009893	0.001237	Uncorrelated	0	NA	NA	NA	-65.602054	5.782789	-11.344362	0.000003	0.031755	0.002871	11.059330	0.000004	NA	NA	NA	NA	33.440648	-0.016604	0.000008	1.000000	-0.999998	1.000000
50+	Women	Non-Drinker	0	10	2	8	0.011765	0.001471	Uncorrelated	0	NA	NA	NA	5.518941	6.306168	0.875166	0.406991	-0.003498	0.003131	-1.117101	0.296375	NA	NA	NA	NA	39.767759	-0.019746	0.000010	1.000000	-0.999998	1.000000
20-49	Men	Obese	1	23	4	19	0.061057	0.003214	Uncorrelated	0	NA	NA	NA	-193.583275	82.262775	-2.353231	0.030181	0.095986	0.041173	2.331302	0.031559	NA	NA	NA	NA	6767.164112	0.000000	24.030685	1.000000	0.000000	1.000000
20-49	Men	Obese	1	23	4	19	0.061057	0.003214	Uncorrelated	1	2000	1999	2003	-18.223366	4.902110	-3.717453	0.001576	0.008306	0.002439	3.405583	0.003152	-0.087680	0.041245	-2.125846	0.047612	0.001695	0.000000	0.000006	1.000000	0.000000	1.000000
50+	Men	Obese	1	23	4	19	0.028182	0.001483	Uncorrelated	0	NA	NA	NA	-76.908499	8.657726	-8.883222	0.000000	0.037730	0.004326	8.722447	0.000000	NA	NA	NA	NA	74.956215	0.000000	43.764102	1.000000	0.000000	1.000000
50+	Men	Obese	1	23	4	19	0.028182	0.001483	Uncorrelated	1	2007	2002	2010	-12.816156	6.615444	-1.937308	0.068562	0.005796	0.003286	1.763953	0.094705	-0.031934	0.005432	-5.879031	0.000014	0.000019	0.000000	0.000011	1.000000	0.000000	1.000000
20-49	Women	Obese	0	23	2	21	0.068790	0.003276	Uncorrelated	0	NA	NA	NA	-40.481521	3.612683	-11.205391	0.000000	0.019407	0.001799	10.786837	0.000000	NA	NA	NA	NA	13.051476	-0.006500	0.000003	1.000000	-0.999995	1.000000
50+	Women	Obese	0	23	2	21	0.031946	0.001521	Uncorrelated	0	NA	NA	NA	-20.835952	2.461930	-8.463258	0.000000	0.009771	0.001226	7.969524	0.000000	NA	NA	NA	NA	6.061101	-0.003018	0.000002	1.000000	-0.999995	1.000000
20-49	Men	Overweight	0	23	2	21	0.019324	0.000920	Uncorrelated	0	NA	NA	NA	9.716199	1.914769	5.074345	0.000050	-0.005275	0.000954	-5.532325	0.000017	NA	NA	NA	NA	3.666341	-0.001826	0.000001	1.000000	-0.999995	1.000000
50+	Men	Overweight	0	23	2	21	0.013198	0.000628	Uncorrelated	0	NA	NA	NA	11.356229	1.582424	7.176477	0.000000	-0.006021	0.000788	-7.640445	0.000000	NA	NA	NA	NA	2.504066	-0.001247	0.000001	1.000000	-0.999995	1.000000
20-49	Women	Overweight	0	23	2	21	0.015166	0.000722	Uncorrelated	0	NA	NA	NA	0.407954	1.696298	0.240497	0.812277	-0.000817	0.000845	-0.967179	0.344462	NA	NA	NA	NA	2.877428	-0.001433	0.000001	1.000000	-0.999995	1.000000
50+	Women	Overweight	1	23	4	19	0.011006	0.000579	Uncorrelated	0	NA	NA	NA	6.781227	2.910816	2.329666	0.031664	-0.003858	0.001452	-2.655898	0.016087	NA	NA	NA	NA	8.472848	0.000000	85.745916	1.000000	0.000000	1.000000
50+	Women	Overweight	1	23	4	19	0.011006	0.000579	Uncorrelated	1	2012	1999	2017	26.742394	9.259909	2.887976	0.009796	-0.013779	0.004593	-2.999810	0.007689	-0.009921	0.004817	-2.059423	0.054219	0.000002	0.000000	0.000021	1.000000	0.000000	1.000000
20-49	Men	Previously	2	25	6	19	0.035741	0.001881	Uncorrelated	0	NA	NA	NA	19.394778	6.381925	3.039017	0.007411	-0.010553	0.003189	-3.308684	0.004152	NA	NA	NA	NA	40.728970	0.000000	0.000044	1.000000	0.000000	1.000000
20-49	Men	Previously	2	25	6	19	0.035741	0.001881	Uncorrelated	1	2008	2002	2012	-51.414145	13.361373	-3.847969	0.001289	0.024711	0.006639	3.721964	0.001695	0.035263	0.007366	4.787635	0.000171	0.000010	0.000000	15085.741038	1.000000	0.000000	1.000000
20-49	Men	Previously	2	25	6	19	0.035741	0.001881	Uncorrelated	2	2017	2012	2017	137.675100	122.824025	1.120913	0.277910	-0.069037	0.060849	-1.134559	0.272305	-0.093748	0.061210	-1.531569	0.144026	178.526286	0.000000	0.003703	1.000000	0.000000	1.000000
50+	Men	Previously	0	25	2	23	0.021503	0.000935	Uncorrelated	0	NA	NA	NA	23.227143	1.702027	13.646750	0.000000	-0.011975	0.000848	-14.121033	0.000000	NA	NA	NA	NA	2.896897	-0.001443	0.000001	1.000000	-0.999994	1.000000
20-49	Women	Previously	2	25	6	19	0.039450	0.002076	Uncorrelated	0	NA	NA	NA	16.926785	12.537274	1.350117	0.194681	-0.009370	0.006273	-1.493553	0.153621	NA	NA	NA	NA	157.183236	0.000000	0.000009	1.000000	0.000000	1.000000
20-49	Women	Previously	2	25	6	19	0.039450	0.002076	Uncorrelated	1	2003	1997	2008	-31.391104	6.057375	-5.182295	0.000075	0.014753	0.003014	4.895517	0.000136	0.024123	0.006960	3.466091	0.002953	0.000039	0.000000	13468.963318	1.000000	0.000000	1.000000
20-49	Women	Previously	2	25	6	19	0.039450	0.002076	Uncorrelated	2	2017	2015	2017	213.662827	116.055863	1.841034	0.083137	-0.106741	0.057496	-1.856493	0.080800	-0.121494	0.057575	-2.110191	0.049964	36.691788	0.000000	0.003306	1.000000	0.000000	1.000000
50+	Women	Previously	0	25	2	23	0.042542	0.001850	Uncorrelated	0	NA	NA	NA	-4.323043	2.393988	-1.805791	0.084057	0.001537	0.001193	1.288737	0.210302	NA	NA	NA	NA	5.731179	-0.002856	0.000001	1.000000	-0.999994	1.000000
20-49	Men	Underweight	0	23	2	21	1.971141	0.093864	Uncorrelated	0	NA	NA	NA	-52.577479	19.338598	-2.718784	0.012862	0.023958	0.009631	2.487644	0.021340	NA	NA	NA	NA	373.981359	-0.186244	0.000093	1.000000	-0.999995	1.000000
50+	Men	Underweight	0	23	2	21	2.916295	0.138871	Uncorrelated	0	NA	NA	NA	31.894643	23.522416	1.355925	0.189525	-0.018628	0.011714	-1.590169	0.126739	NA	NA	NA	NA	553.304031	-0.275547	0.000137	1.000000	-0.999995	1.000000
20-49	Women	Underweight	0	23	2	21	0.517005	0.024619	Uncorrelated	0	NA	NA	NA	-28.023441	9.904067	-2.829488	0.010042	0.011993	0.004932	2.431472	0.024076	NA	NA	NA	NA	98.090549	-0.048849	0.000024	1.000000	-0.999995	1.000000
50+	Women	Underweight	0	23	2	21	1.485874	0.070756	Uncorrelated	0	NA	NA	NA	25.222944	16.790252	1.502237	0.147925	-0.014790	0.008362	-1.768840	0.091444	NA	NA	NA	NA	281.912578	-0.140393	0.000070	1.000000	-0.999995	1.000000
