"sex"	"age_group"	"cancer_site"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
Men	20-34	Non-Hodgkin Lymphoma	2	1	19	4	15	       0.0614948	      -5.1133592	      -4.9583888	       0.0314326	      -5.1084881
Men	20-34	Non-Hodgkin Lymphoma	3	2	19	6	13	       0.0545683	      -4.9229186	      -4.6129777	       0.1143221	      -4.8874855
Men	20-34	Non-Hodgkin Lymphoma	4	3	19	8	11	       0.0503603	      -4.6932274	      -4.2283160	       0.2475301	      -4.5781479
Men	20-34	Oesophagus	1	0	19	2	17	       3.3817592	      -1.4161020	      -1.4161020	       0.0000000	      -1.4161020
Men	20-34	Oesophagus	2	1	19	4	15	       2.9124428	      -1.2555649	      -1.1005944	       0.1387788	      -1.2340583
Men	20-34	Oesophagus	3	2	19	6	13	       2.6164563	      -1.0527953	      -0.7428544	       0.4600726	      -0.9102000
Men	20-34	Oesophagus	4	3	19	8	11	       2.3744656	      -0.8399028	      -0.3749914	       0.5351135	      -0.5911224
Men	20-34	Oral	1	0	19	2	17	       0.4617661	      -3.4071948	      -3.4071948	       0.0000000	      -3.4071948
Men	20-34	Oral	2	1	19	4	15	       0.2728117	      -3.6235307	      -3.4685603	       0.4091995	      -3.5601169
Men	20-34	Oral	3	2	19	6	13	       0.1837792	      -3.7086363	      -3.3986954	       0.6918636	      -3.4941994
Men	20-34	Oral	4	3	19	8	11	       0.1713605	      -3.4686612	      -3.0037497	       0.7300631	      -3.1292465
Men	20-34	Pancreas	1	0	19	2	17	       2.8312438	      -1.5937819	      -1.5937819	       0.0000000	      -1.5937819
Men	20-34	Pancreas	2	1	19	4	15	       2.0823278	      -1.5910707	      -1.4361002	       0.2645184	      -1.5500782
Men	20-34	Pancreas	3	2	19	6	13	       1.7950141	      -1.4296033	      -1.1196623	       0.3394418	      -1.3243964
Men	20-34	Pancreas	4	3	19	8	11	       1.7096719	      -1.1683737	      -0.7034623	       0.2551076	      -1.0497713
Men	20-34	Prostate	1	0	19	0	0	       0.0000000	       0.0000000	       0.0000000	       0.0000000	       0.0000000
Men	20-34	Stomach	1	0	19	2	17	       1.3643767	      -2.3238004	      -2.3238004	       0.0000000	      -2.3238004
Men	20-34	Stomach	2	1	19	4	15	       1.2760734	      -2.0807694	      -1.9257989	       0.0647206	      -2.0707396
Men	20-34	Stomach	3	2	19	6	13	       1.2264761	      -1.8104711	      -1.5005301	       0.1867239	      -1.7525977
Men	20-34	Stomach	4	3	19	8	11	       1.1203839	      -1.5910038	      -1.1260924	       0.4658663	      -1.3744172
Men	20-34	Testis	1	0	19	2	17	       0.0418724	      -5.8076263	      -5.8076263	       0.0000000	      -5.8076263
Men	20-34	Testis	2	1	19	4	15	       0.0235540	      -6.0730165	      -5.9180461	       0.4374815	      -6.0052198
Men	20-34	Testis	3	2	19	6	13	       0.0223912	      -5.8137020	      -5.5037610	       0.4227730	      -5.6826673
Men	20-34	Testis	4	3	19	8	11	       0.0213152	      -5.5530094	      -5.0880980	       0.2680886	      -5.4283719
Men	20-34	Thyroid	1	0	19	2	17	       0.2090363	      -4.1997455	      -4.1997455	       0.0000000	      -4.1997455
Men	20-34	Thyroid	2	1	19	4	15	       0.2028320	      -3.9199342	      -3.7649637	       0.0296802	      -3.9153346
Men	20-34	Thyroid	3	2	19	6	13	       0.1602820	      -3.8454364	      -3.5354955	       0.2293254	      -3.7743591
Men	20-34	Thyroid	4	3	19	8	11	       0.1242984	      -3.7897450	      -3.3248335	       0.4907971	      -3.5615678
Men	35-49	Bladder	1	0	19	2	17	       0.1515640	      -4.5212454	      -4.5212454	       0.0000000	      -4.5212454
Men	35-49	Bladder	2	1	19	4	15	       0.1384461	      -4.3018315	      -4.1468611	       0.0865504	      -4.2884188
Men	35-49	Bladder	3	2	19	6	13	       0.1089433	      -4.2315436	      -3.9216027	       0.7936536	      -3.9855579
Men	35-49	Bladder	4	3	19	8	11	       0.0817201	      -4.2091308	      -3.7442194	       0.7936536	      -3.8401522
Men	35-49	Brain and CNS	1	0	19	2	17	       0.0307914	      -6.1150174	      -6.1150174	       0.0000000	      -6.1150174
Men	35-49	Brain and CNS	2	1	19	4	15	       0.0256181	      -5.9890140	      -5.8340435	       0.1680122	      -5.9629770
Men	35-49	Brain and CNS	3	2	19	6	13	       0.0234176	      -5.7688849	      -5.4589439	       0.5402580	      -5.6014368
Men	35-49	Brain and CNS	4	3	19	8	11	       0.0201040	      -5.6115141	      -5.1466027	       0.5402580	      -5.3603420
Men	35-49	Colorectum	1	0	19	2	17	       0.0263388	      -6.2712084	      -6.2712084	       0.0000000	      -6.2712084
Men	35-49	Colorectum	2	1	19	4	15	       0.0150692	      -6.5196594	      -6.3646889	       0.4278717	      -6.4533519
Men	35-49	Colorectum	3	2	19	6	13	       0.0135138	      -6.3186616	      -6.0087207	       0.6696635	      -6.1111055
Men	35-49	Colorectum	4	3	19	8	11	       0.0098239	      -6.3276154	      -5.8627040	       0.4775118	      -6.1056148
Men	35-49	Gallbladder	1	0	19	2	17	       0.6169025	      -3.1175423	      -3.1175423	       0.0000000	      -3.1175423
Men	35-49	Gallbladder	2	1	19	4	15	       0.6028379	      -2.8306640	      -2.6756936	       0.0227988	      -2.8271309
Men	35-49	Gallbladder	3	2	19	6	13	       0.4765111	      -2.7558804	      -2.4459395	       0.3492108	      -2.6476457
Men	35-49	Gallbladder	4	3	19	8	11	       0.4300946	      -2.5484253	      -2.0835139	       0.4832083	      -2.3237762
Men	35-49	Hodgkin Lymphoma	1	0	19	2	17	       0.0594002	      -5.4579552	      -5.4579552	       0.0000000	      -5.4579552
Men	35-49	Hodgkin Lymphoma	2	1	19	4	15	       0.0506093	      -5.3081771	      -5.1532066	       0.1479950	      -5.2852422
Men	35-49	Hodgkin Lymphoma	3	2	19	6	13	       0.0465496	      -5.0818526	      -4.7719117	       0.1711147	      -5.0288172
Men	35-49	Hodgkin Lymphoma	4	3	19	8	11	       0.0433793	      -4.8424486	      -4.3775372	       0.2369392	      -4.7322929
Men	35-49	Kidney	1	0	19	2	17	       0.0887592	      -5.0563257	      -5.0563257	       0.0000000	      -5.0563257
Men	35-49	Kidney	2	1	19	4	15	       0.0639143	      -5.0747697	      -4.9197993	       0.2799142	      -5.0313913
Men	35-49	Kidney	3	2	19	6	13	       0.0244984	      -5.7237639	      -5.4138230	       0.7237206	      -5.4994533
Men	35-49	Kidney	4	3	19	8	11	       0.0221685	      -5.5137569	      -5.0488455	       0.7061699	      -5.1854504
Men	35-49	Larynx	1	0	19	2	17	       0.1911357	      -4.2892695	      -4.2892695	       0.0000000	      -4.2892695
Men	35-49	Larynx	2	1	19	4	15	       0.1691630	      -4.1014496	      -3.9464791	       0.1149587	      -4.0836344
Men	35-49	Larynx	3	2	19	6	13	       0.1334560	      -4.0285995	      -3.7186586	       0.3966555	      -3.9056597
Men	35-49	Larynx	4	3	19	8	11	       0.1075543	      -3.9344351	      -3.4695236	       0.5054075	      -3.6994653
Men	35-49	Leukaemia	1	0	19	2	17	       0.0794795	      -5.1667544	      -5.1667544	       0.0000000	      -5.1667544
Men	35-49	Leukaemia	2	1	19	4	15	       0.0614923	      -5.1134003	      -4.9584299	       0.2263122	      -5.0783286
Men	35-49	Leukaemia	3	2	19	6	13	       0.0446380	      -5.1237858	      -4.8138449	       0.5076560	      -4.9664425
Men	35-49	Leukaemia	4	3	19	8	11	       0.0377443	      -4.9815967	      -4.5166853	       0.5475258	      -4.7270457
Men	35-49	Liver	1	0	19	2	17	       0.3636420	      -3.6460835	      -3.6460835	       0.0000000	      -3.6460835
Men	35-49	Liver	2	1	19	4	15	       0.2214908	      -3.8319313	      -3.6769608	       0.3909097	      -3.7713518
Men	35-49	Liver	3	2	19	6	13	       0.2101600	      -3.5745023	      -3.2645613	       0.2743359	      -3.4894744
Men	35-49	Liver	4	3	19	8	11	       0.1949054	      -3.3399162	      -2.8750048	       0.2743359	      -3.2123744
Men	35-49	Lung	1	0	19	2	17	       0.0519108	      -5.5927257	      -5.5927257	       0.0000000	      -5.5927257
Men	35-49	Lung	2	1	19	4	15	       0.0355997	      -5.6599747	      -5.5050042	       0.3142142	      -5.6112808
Men	35-49	Lung	3	2	19	6	13	       0.0351892	      -5.3616322	      -5.0516913	       0.3943966	      -5.2393926
Men	35-49	Lung	4	3	19	8	11	       0.0340943	      -5.0833004	      -4.6183890	       0.4280512	      -4.8842945
Men	35-49	Melanoma	1	0	19	2	17	       0.1346659	      -4.6394564	      -4.6394564	       0.0000000	      -4.6394564
Men	35-49	Melanoma	2	1	19	4	15	       0.0426702	      -5.4788124	      -5.3238419	       0.6831405	      -5.3729458
Men	35-49	Melanoma	3	2	19	6	13	       0.0273049	      -5.6153038	      -5.3053629	       0.7953152	      -5.3688031
Men	35-49	Melanoma	4	3	19	8	11	       0.0262908	      -5.3432108	      -4.8782994	       0.9285596	      -4.9115129
Men	35-49	MultipleMyeloma	1	0	19	2	17	       0.2662320	      -3.9578851	      -3.9578851	       0.0000000	      -3.9578851
Men	35-49	MultipleMyeloma	2	1	19	4	15	       0.2171697	      -3.8516331	      -3.6966627	       0.1842840	      -3.8230746
Men	35-49	MultipleMyeloma	3	2	19	6	13	       0.1704605	      -3.7838677	      -3.4739268	       0.7740641	      -3.5439536
Men	35-49	MultipleMyeloma	4	3	19	8	11	       0.1447351	      -3.6375252	      -3.1726138	       0.4664505	      -3.4206671
Men	35-49	Non-Hodgkin Lymphoma	1	0	19	2	17	       0.1143380	      -4.8030946	      -4.8030946	       0.0000000	      -4.8030946
Men	35-49	Non-Hodgkin Lymphoma	2	1	19	4	15	       0.0292877	      -5.8551449	      -5.7001744	       0.7438498	      -5.7398701
Men	35-49	Non-Hodgkin Lymphoma	3	2	19	6	13	       0.0233188	      -5.7731119	      -5.4631709	       0.7893681	      -5.5284544
Men	35-49	Non-Hodgkin Lymphoma	4	3	19	8	11	       0.0218777	      -5.5269616	      -5.0620502	       0.8823311	      -5.1167558
Men	35-49	Oesophagus	1	0	19	2	17	       0.1124083	      -4.8201152	      -4.8201152	       0.0000000	      -4.8201152
Men	35-49	Oesophagus	2	1	19	4	15	       0.1011283	      -4.6159219	      -4.4609514	       0.1003483	      -4.6003709
Men	35-49	Oesophagus	3	2	19	6	13	       0.0867449	      -4.4594003	      -4.1494593	       0.3540181	      -4.3496756
Men	35-49	Oesophagus	4	3	19	8	11	       0.0837449	      -4.1846555	      -3.7197441	       0.4878651	      -3.9578414
Men	35-49	Oral	1	0	19	2	17	       0.0605767	      -5.4383433	      -5.4383433	       0.0000000	      -5.4383433
Men	35-49	Oral	2	1	19	4	15	       0.0096753	      -6.9627396	      -6.8077691	       0.8402807	      -6.8325209
Men	35-49	Oral	3	2	19	6	13	       0.0082365	      -6.8137991	      -6.5038582	       0.8728186	      -6.5432769
Men	35-49	Oral	4	3	19	8	11	       0.0071927	      -6.6393651	      -6.1744537	       0.7641564	      -6.2841000
Men	35-49	Pancreas	1	0	19	2	17	       0.1642556	      -4.4408295	      -4.4408295	       0.0000000	      -4.4408295
Men	35-49	Pancreas	2	1	19	4	15	       0.1163594	      -4.4756284	      -4.3206579	       0.2915954	      -4.4304397
Men	35-49	Pancreas	3	2	19	6	13	       0.0766992	      -4.5824801	      -4.2725391	       0.6953719	      -4.3669559
