"age_group"	"sex"	"level"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
2-10 years	Girls	Overweight including obese	1	25	4	21	0.077438	0.003688	Uncorrelated	1	2004	2000	2007	33.392365	7.425159	4.497192	0.000220	-0.014988	0.003690	-4.061184	0.000610	-0.042254	0.008785	-4.809830	0.000107	0.000064	0.000000	0.000014	1.000000	0.000000	1.000000
2-15 years	All children	Obese	2	25	6	19	0.063933	0.003365	Uncorrelated	0	NA	NA	NA	-96.028189	14.383622	-6.676218	0.000004	0.049369	0.007195	6.861239	0.000003	NA	NA	NA	NA	206.888571	0.000000	0.000111	1.000000	0.000000	1.000000
2-15 years	All children	Obese	2	25	6	19	0.063933	0.003365	Uncorrelated	1	2004	2001	2006	55.210194	21.150256	2.610379	0.018283	-0.026099	0.010533	-2.477822	0.024012	-0.075468	0.012756	-5.916255	0.000017	0.000052	0.000000	450.904832	1.000000	0.000000	1.000000
2-15 years	All children	Obese	2	25	6	19	0.063933	0.003365	Uncorrelated	2	2012	2006	2017	-22.930300	21.234520	-1.079860	0.295288	0.012738	0.010533	1.209376	0.243069	0.038837	0.014896	2.607243	0.018402	447.333326	0.000000	0.000111	1.000000	0.000000	1.000000
2-15 years	All children	Overweight	1	25	4	21	0.051317	0.002444	Uncorrelated	0	NA	NA	NA	-24.237830	12.878416	-1.882051	0.074463	0.013442	0.006442	2.086516	0.049945	NA	NA	NA	NA	165.853600	0.000000	36.003918	1.000000	0.000000	1.000000
2-15 years	All children	Overweight	1	25	4	21	0.051317	0.002444	Uncorrelated	1	2004	2000	2009	20.199806	6.000327	3.366451	0.003070	-0.008732	0.002982	-2.928062	0.008316	-0.022174	0.007099	-3.123514	0.005352	0.000042	0.000000	0.000009	1.000000	0.000000	1.000000
2-15 years	All children	Overweight including obese	1	25	4	21	0.035845	0.001707	Uncorrelated	0	NA	NA	NA	-61.654432	13.028458	-4.732289	0.000128	0.032515	0.006519	4.987663	0.000071	NA	NA	NA	NA	169.740716	0.000000	21.241730	1.000000	0.000000	1.000000
2-15 years	All children	Overweight including obese	1	25	4	21	0.035845	0.001707	Uncorrelated	1	2003	2001	2005	19.933776	4.608875	4.325085	0.000329	-0.008218	0.002291	-3.586618	0.001845	-0.040733	0.006910	-5.894753	0.000009	0.000042	0.000000	0.000005	1.000000	0.000000	1.000000
2-15 years	Boys	Obese	2	25	6	19	0.095188	0.005010	Uncorrelated	0	NA	NA	NA	-107.044362	18.062447	-5.926349	0.000017	0.054884	0.009036	6.074147	0.000012	NA	NA	NA	NA	326.251985	0.000000	0.000175	1.000000	0.000000	1.000000
2-15 years	Boys	Obese	2	25	6	19	0.095188	0.005010	Uncorrelated	1	2004	2000	2007	57.470500	26.559749	2.163819	0.045008	-0.027209	0.013227	-2.057076	0.055358	-0.082093	0.016019	-5.124856	0.000084	0.000082	0.000000	711.052311	1.000000	0.000000	1.000000
