"Sex"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
2	1986	127.16	127.15	NA	0.3771*	3	3
2	1987	127.43	127.63	NA	0.3771*	3	3
2	1988	128.11	128.11	NA	0.3771*	3	3
2	1989	127.99	128.59	Joinpoint 2	NA	3	3
2	1990	125.78	126.61	NA	-1.5425*	3	3
2	1991	124.25	124.66	NA	-1.5425*	3	3
2	1992	123.40	122.73	NA	-1.5425*	3	3
2	1993	120.96	120.84	NA	-1.5425*	3	3
2	1994	119.37	118.98	NA	-1.5425*	3	3
2	1995	117.38	117.14	NA	-1.5425*	3	3
2	1996	115.40	115.33	NA	-1.5425*	3	3
2	1997	113.38	113.55	NA	-1.5425*	3	3
2	1998	111.83	111.80	Joinpoint 3	NA	3	3
2	1999	110.20	110.55	NA	-1.1201*	3	3
2	2000	108.50	109.31	NA	-1.1201*	3	3
2	2001	108.82	108.09	NA	-1.1201*	3	3
2	2002	107.43	106.88	NA	-1.1201*	3	3
2	2003	105.81	105.68	NA	-1.1201*	3	3
2	2004	103.99	104.50	NA	-1.1201*	3	3
2	2005	103.27	103.33	NA	-1.1201*	3	3
2	2006	101.76	102.17	NA	-1.1201*	3	3
2	2007	101.72	101.02	NA	-1.1201*	3	3
2	2008	100.41	99.89	NA	-1.1201*	3	3
2	2009	97.87	98.77	NA	-1.1201*	3	3
2	2010	96.99	97.67	NA	-1.1201*	3	3
2	2011	96.54	96.57	NA	-1.1201*	3	3
2	2012	96.60	95.49	NA	-1.1201*	3	3
2	2013	94.36	94.42	NA	-1.1201*	3	3
2	2014	93.12	93.36	NA	-1.1201*	3	3
2	2015	91.76	92.32	NA	-1.1201*	3	3
2	2016	91.82	91.28	NA	-1.1201*	3	3
