"sex"	"age_group"	"cancer_site"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
Men	20-49	MultipleMyeloma	3	2	19	6	13	       0.1599763	      -3.8473460	      -3.5374051	       0.6988699	      -3.6307376
Men	20-49	MultipleMyeloma	4	3	19	8	11	       0.1448676	      -3.6366102	      -3.1716988	       0.6988699	      -3.3116976
Men	20-49	Non-Hodgkin Lymphoma	1	0	19	2	17	       0.0668327	      -5.3400614	      -5.3400614	       0.0000000	      -5.3400614
Men	20-49	Non-Hodgkin Lymphoma	2	1	19	4	15	       0.0138780	      -6.6020052	      -6.4470347	       0.7923466	      -6.4792149
Men	20-49	Non-Hodgkin Lymphoma	3	2	19	6	13	       0.0130963	      -6.3500379	      -6.0400970	       0.6531829	      -6.1475898
Men	20-49	Non-Hodgkin Lymphoma	4	3	19	8	11	       0.0123041	      -6.1024973	      -5.6375859	       0.6309289	      -5.8091712
Men	20-49	Oesophagus	1	0	19	2	17	       0.1236754	      -4.7245925	      -4.7245925	       0.0000000	      -4.7245925
Men	20-49	Oesophagus	2	1	19	4	15	       0.1178708	      -4.4627234	      -4.3077530	       0.0469347	      -4.4554499
Men	20-49	Oesophagus	3	2	19	6	13	       0.1042266	      -4.2758044	      -3.9658635	       0.2964896	      -4.1839102
Men	20-49	Oesophagus	4	3	19	8	11	       0.0932427	      -4.0772242	      -3.6123128	       0.3144038	      -3.9310543
Men	20-49	Oral	1	0	19	2	17	       0.0751384	      -5.2229212	      -5.2229212	       0.0000000	      -5.2229212
Men	20-49	Oral	2	1	19	4	15	       0.0065119	      -7.3586791	      -7.2037086	       0.9133345	      -7.2171392
Men	20-49	Oral	3	2	19	6	13	       0.0063086	      -7.0804528	      -6.7705118	       0.8940226	      -6.8033585
Men	20-49	Oral	4	3	19	8	11	       0.0061526	      -6.7955560	      -6.3306446	       0.7615708	      -6.4414931
Men	20-49	Pancreas	1	0	19	2	17	       0.1007052	      -4.9300558	      -4.9300558	       0.0000000	      -4.9300558
Men	20-49	Pancreas	2	1	19	4	15	       0.0850219	      -4.7894039	      -4.6344334	       0.1557351	      -4.7652695
Men	20-49	Pancreas	3	2	19	6	13	       0.0618059	      -4.7983722	      -4.4884312	       0.5587414	      -4.6251953
Men	20-49	Pancreas	4	3	19	8	11	       0.0603204	      -4.5127596	      -4.0478481	       0.3365879	      -4.3562760
Men	20-49	Prostate	1	0	19	2	17	       0.1965841	      -4.2611630	      -4.2611630	       0.0000000	      -4.2611630
Men	20-49	Prostate	2	1	19	4	15	       0.0599724	      -5.1384279	      -4.9834574	       0.6949275	      -5.0307347
Men	20-49	Prostate	3	2	19	6	13	       0.0495857	      -5.0186689	      -4.7087279	       0.7897795	      -4.7738839
Men	20-49	Prostate	4	3	19	8	11	       0.0487815	      -4.7250794	      -4.2601680	       0.7897795	      -4.3579019
Men	20-49	Stomach	1	0	19	2	17	       0.1115518	      -4.8277644	      -4.8277644	       0.0000000	      -4.8277644
Men	20-49	Stomach	2	1	19	4	15	       0.0899699	      -4.7328367	      -4.5778663	       0.1934693	      -4.7028547
Men	20-49	Stomach	3	2	19	6	13	       0.0719876	      -4.6458777	      -4.3359368	       0.9419574	      -4.3539265
Men	20-49	Stomach	4	3	19	8	11	       0.0443476	      -4.8203720	      -4.3554606	       0.6499032	      -4.5182246
Men	20-49	Testis	1	0	19	2	17	       0.0227246	      -6.4188070	      -6.4188070	       0.0000000	      -6.4188070
Men	20-49	Testis	2	1	19	4	15	       0.0213204	      -6.1726480	      -6.0176775	       0.0617905	      -6.1630723
Men	20-49	Testis	3	2	19	6	13	       0.0179176	      -6.0365864	      -5.7266455	       0.5067046	      -5.8795379
Men	20-49	Testis	4	3	19	8	11	       0.0159318	      -5.8441105	      -5.3791991	       0.4281863	      -5.6450418
Men	20-49	Thyroid	1	0	19	2	17	       0.0998087	      -4.9389978	      -4.9389978	       0.0000000	      -4.9389978
Men	20-49	Thyroid	2	1	19	4	15	       0.0566849	      -5.1948054	      -5.0398349	       0.4320651	      -5.1278480
Men	20-49	Thyroid	3	2	19	6	13	       0.0357238	      -5.3465554	      -5.0366144	       0.8010121	      -5.0982889
Men	20-49	Thyroid	4	3	19	8	11	       0.0333432	      -5.1055763	      -4.6406649	       0.8471162	      -4.7117423
Men	50+	Bladder	1	0	19	2	17	       0.0148326	      -6.8454235	      -6.8454235	       0.0000000	      -6.8454235
Men	50+	Bladder	2	1	19	4	15	       0.0091985	      -7.0132668	      -6.8582964	       0.3798441	      -6.9544022
Men	50+	Bladder	3	2	19	6	13	       0.0053136	      -7.2521060	      -6.9421650	       0.7321054	      -7.0251966
Men	50+	Bladder	4	3	19	8	11	       0.0038778	      -7.2571712	      -6.7922598	       0.7321054	      -6.9168071
Men	50+	Brain and CNS	1	0	19	2	17	       0.0176722	      -6.6702611	      -6.6702611	       0.0000000	      -6.6702611
Men	50+	Brain and CNS	2	1	19	4	15	       0.0108606	      -6.8471664	      -6.6921959	       0.3854385	      -6.7874348
