"sex"	"age_group"	"cancer_site"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
Men	50+	Liver	3	2	19	6	13	      20.4043749	       1.0011332	       1.3110741	       0.8095416	       1.2520433
Men	50+	Liver	4	3	19	8	11	      19.1500549	       1.2476304	       1.7125418	       0.8095416	       1.6239955
Men	50+	MultipleMyeloma	1	0	19	2	17	     116.8911280	       2.1267449	       2.1267449	       0.0000000	       2.1267449
Men	50+	MultipleMyeloma	2	1	19	4	15	     104.0766289	       2.3205704	       2.4755408	       0.1096276	       2.3375594
Men	50+	MultipleMyeloma	3	2	19	6	13	      65.5511955	       2.1682153	       2.4781562	       0.7417684	       2.3981197
Men	50+	MultipleMyeloma	4	3	19	8	11	      63.4186576	       2.4450829	       2.9099943	       0.5117566	       2.6830044
Men	50+	Oral	1	0	19	2	17	      64.8658907	       1.5378239	       1.5378239	       0.0000000	       1.5378239
Men	50+	Oral	2	1	19	4	15	      45.1751491	       1.4859900	       1.6409605	       0.3035612	       1.5330331
Men	50+	Oral	3	2	19	6	13	      35.1253602	       1.5443072	       1.8542482	       0.5000415	       1.6992906
Men	50+	Oral	4	3	19	8	11	      31.4202439	       1.7427772	       2.2076886	       0.5254341	       1.9870575
Men	50+	Pancreas	1	0	19	2	17	      24.1395433	       0.5493533	       0.5493533	       0.0000000	       0.5493533
Men	50+	Pancreas	2	1	19	4	15	      20.7906992	       0.7099486	       0.8649191	       0.1387284	       0.7314475
Men	50+	Pancreas	3	2	19	6	13	      15.1650143	       0.7043749	       1.0143159	       0.3271635	       0.8057763
Men	50+	Pancreas	4	3	19	8	11	      14.0739976	       0.9396538	       1.4045652	       0.8464625	       1.3331838
Men	50+	Thyroid	1	0	19	2	17	      34.2404387	       0.8989093	       0.8989093	       0.0000000	       0.8989093
Men	50+	Thyroid	2	1	19	4	15	      21.2030893	       0.7295898	       0.8845603	       0.3807589	       0.7885962
Men	50+	Thyroid	3	2	19	6	13	      16.0594191	       0.7616794	       1.0716203	       0.4804979	       0.9106054
Men	50+	Thyroid	4	3	19	8	11	      15.1783266	       1.0151933	       1.4801048	       0.6207655	       1.3037943
Women	20-49	Breast	1	0	19	2	17	     221.9828188	       2.7681020	       2.7681020	       0.0000000	       2.7681020
Women	20-49	Breast	2	1	19	4	15	      29.8047392	       1.0701103	       1.2250808	       0.8657337	       1.2042735
Women	20-49	Breast	3	2	19	6	13	      26.2109463	       1.2515610	       1.5615019	       0.7615795	       1.4876057
Women	20-49	Breast	4	3	19	8	11	      19.2345415	       1.2520325	       1.7169439	       0.7615795	       1.6060995
Women	20-49	Colorectum	1	0	19	2	17	      40.9558336	       1.0779962	       1.0779962	       0.0000000	       1.0779962
Women	20-49	Colorectum	2	1	19	4	15	      22.3068675	       0.7803375	       0.9353080	       0.4553433	       0.8509023
Women	20-49	Colorectum	3	2	19	6	13	      18.7354233	       0.9157999	       1.2257408	       0.5287416	       1.0796786
Women	20-49	Colorectum	4	3	19	8	11	      17.0755884	       1.1329747	       1.5978861	       0.3884101	       1.3135509
Women	20-49	Endometrium	1	0	19	2	17	      40.4665856	       1.0659786	       1.0659786	       0.0000000	       1.0659786
Women	20-49	Endometrium	2	1	19	4	15	      18.0550543	       0.5688686	       0.7238390	       0.5538281	       0.6546956
Women	20-49	Endometrium	3	2	19	6	13	      16.9531192	       0.8158357	       1.1257766	       0.6365105	       1.0131164
Women	20-49	Endometrium	4	3	19	8	11	      15.5980495	       1.0424707	       1.5073821	       0.8689418	       1.4464516
Women	20-49	Gallbladder	1	0	19	2	17	       6.1349352	      -0.8204985	      -0.8204985	       0.0000000	      -0.8204985
Women	20-49	Gallbladder	2	1	19	4	15	       4.9809834	      -0.7189297	      -0.5639593	       0.1880952	      -0.6897805
Women	20-49	Gallbladder	3	2	19	6	13	       4.5425448	      -0.5011288	      -0.1911878	       0.4383277	      -0.3652731
Women	20-49	Gallbladder	4	3	19	8	11	       3.7197445	      -0.3910202	       0.0738912	       0.6116962	      -0.1066357
Women	20-49	Kidney	1	0	19	2	17	      30.1045642	       0.7701788	       0.7701788	       0.0000000	       0.7701788
Women	20-49	Kidney	2	1	19	4	15	      17.7952320	       0.5543735	       0.7093439	       0.4088859	       0.6177387
Women	20-49	Kidney	3	2	19	6	13	      15.7073588	       0.7395132	       1.0494541	       0.6776119	       0.9495329
Women	20-49	Kidney	4	3	19	8	11	      12.8646282	       0.8498063	       1.3147178	       0.7078006	       1.1788709
Women	20-49	Liver	1	0	19	2	17	      16.2619000	       0.1543269	       0.1543269	       0.0000000	       0.1543269
Women	20-49	Liver	2	1	19	4	15	       7.6997325	      -0.2833715	      -0.1284010	       0.5265170	      -0.2017769
Women	20-49	Liver	3	2	19	6	13	       6.1732676	      -0.1943879	       0.1155531	       0.6376071	       0.0032327
Women	20-49	Liver	4	3	19	8	11	       5.7016210	       0.0360753	       0.5009867	       0.6376071	       0.3325061
Women	20-49	MultipleMyeloma	1	0	19	2	17	      25.5739454	       0.6070760	       0.6070760	       0.0000000	       0.6070760
Women	20-49	MultipleMyeloma	2	1	19	4	15	      18.2930087	       0.5819619	       0.7369323	       0.2847014	       0.6260822
Women	20-49	MultipleMyeloma	3	2	19	6	13	      13.2481918	       0.5692449	       0.8791859	       0.6562321	       0.7726381
Women	20-49	MultipleMyeloma	4	3	19	8	11	      12.0787928	       0.7867761	       1.2516875	       0.6562321	       1.0918658
Women	20-49	Oral	1	0	19	2	17	      33.7012522	       0.8830370	       0.8830370	       0.0000000	       0.8830370
Women	20-49	Oral	2	1	19	4	15	      20.6897453	       0.7050811	       0.8600516	       0.3860838	       0.7649127
Women	20-49	Oral	3	2	19	6	13	      13.0388639	       0.5533183	       0.8632592	       0.6324683	       0.7493461
Women	20-49	Oral	4	3	19	8	11	      12.1899889	       0.7959398	       1.2608513	       0.6324683	       1.0899816
Women	20-49	Pancreas	1	0	19	2	17	      14.5472731	       0.0429055	       0.0429055	       0.0000000	       0.0429055
Women	20-49	Pancreas	2	1	19	4	15	      13.0828936	       0.2467485	       0.4017189	       0.1006635	       0.2623483
Women	20-49	Pancreas	3	2	19	6	13	      10.7649922	       0.3616833	       0.6716242	       0.4494549	       0.5009877
Women	20-49	Pancreas	4	3	19	8	11	      10.3365617	       0.6310121	       1.0959235	       0.4074454	       0.8204381
Women	20-49	Thyroid	1	0	19	2	17	      63.5273472	       1.5169724	       1.5169724	       0.0000000	       1.5169724
Women	20-49	Thyroid	2	1	19	4	15	      11.9123331	       0.1530172	       0.3079876	       0.8124849	       0.2789283
Women	20-49	Thyroid	3	2	19	6	13	       9.9745156	       0.2854173	       0.5953582	       0.7636749	       0.5221114
Women	20-49	Thyroid	4	3	19	8	11	       9.2197501	       0.5166727	       0.9815842	       0.8499238	       0.9118120
Women	50+	Breast	1	0	19	2	17	     187.8504804	       2.6011483	       2.6011483	       0.0000000	       2.6011483
Women	50+	Breast	2	1	19	4	15	     177.2213687	       2.8528425	       3.0078130	       0.0565827	       2.8616112
Women	50+	Breast	3	2	19	6	13	     115.6944525	       2.7363365	       3.0462775	       0.5788192	       2.9157363
Women	50+	Breast	4	3	19	8	11	      81.8449095	       2.7001509	       3.1650623	       0.9773812	       3.1545466
Women	50+	Colorectum	1	0	19	2	17	      98.8716493	       1.9593245	       1.9593245	       0.0000000	       1.9593245
Women	50+	Colorectum	2	1	19	4	15	      56.7030482	       1.7132709	       1.8682414	       0.4264983	       1.7793655
Women	50+	Colorectum	3	2	19	6	13	      26.7983287	       1.2737234	       1.5836643	       0.7173736	       1.4960668
Women	50+	Colorectum	4	3	19	8	11	      19.0452798	       1.2421441	       1.7070555	       0.7638374	       1.5972608
Women	50+	Endometrium	1	0	19	2	17	     101.2327195	       1.9829240	       1.9829240	       0.0000000	       1.9829240
Women	50+	Endometrium	2	1	19	4	15	      27.9798945	       1.0069291	       1.1618996	       0.7236078	       1.1190669
Women	50+	Endometrium	3	2	19	6	13	      26.6635146	       1.2686800	       1.5786209	       0.5217627	       1.4303956
