"Year","Country","Cancer_Site","Sex","Incidences","ASR","ASR_rolling"
2000,"England","All sites excl. NMSC","Men","114695",657.2,655.666666666667
2001,"England","All sites excl. NMSC","Men","117203",662.2,655.866666666667
2002,"England","All sites excl. NMSC","Men","116598",648.2,651.2
2003,"England","All sites excl. NMSC","Men","117197",643.2,650.666666666667
2004,"England","All sites excl. NMSC","Men","122309",660.6,652.533333333333
2005,"England","All sites excl. NMSC","Men","123053",653.8,661.566666666667
2006,"England","All sites excl. NMSC","Men","127895",670.3,662.8
2007,"England","All sites excl. NMSC","Men","129224",664.3,670.733333333333
2008,"England","All sites excl. NMSC","Men","134378",677.6,676.566666666667
2009,"England","All sites excl. NMSC","Men","139329",687.8,682.766666666667
2010,"England","All sites excl. NMSC","Men","141060",682.9,685
2011,"England","All sites excl. NMSC","Men","143904",684.3,688.366666666667
2012,"England","All sites excl. NMSC","Men","149683",697.9,699
2013,"England","All sites excl. NMSC","Men","156323",714.8,701.1
2014,"England","All sites excl. NMSC","Men","155032",690.6,697.933333333333
2015,"England","All sites excl. NMSC","Men","157611",688.4,687.633333333333
2016,"England","All sites excl. NMSC","Men","159600",683.9,681.066666666667
2017,"England","All sites excl. NMSC","Men","159931",670.9,684.1
2018,"England","All sites excl. NMSC","Men","169674",697.5,685.866666666667
2000,"England","All sites excl. NMSC","Women","114650",490.5,491.666666666667
2001,"England","All sites excl. NMSC","Women","115992",492.6,488.9
2002,"England","All sites excl. NMSC","Women","114459",483.6,491.033333333333
2003,"England","All sites excl. NMSC","Women","118399",496.9,492.7
2004,"England","All sites excl. NMSC","Women","119115",497.6,500.2
2005,"England","All sites excl. NMSC","Women","121936",506.1,506.3
2006,"England","All sites excl. NMSC","Women","125202",515.2,512.333333333333
2007,"England","All sites excl. NMSC","Women","126610",515.7,520.6
2008,"England","All sites excl. NMSC","Women","131748",530.9,525.7
2009,"England","All sites excl. NMSC","Women","133226",530.5,531.633333333333
2010,"England","All sites excl. NMSC","Women","135448",533.5,534.733333333333
2011,"England","All sites excl. NMSC","Women","138642",540.2,540.366666666667
2012,"England","All sites excl. NMSC","Women","142470",547.4,548.733333333333
2013,"England","All sites excl. NMSC","Women","147345",558.6,553.966666666667
2014,"England","All sites excl. NMSC","Women","148779",555.9,555.9
2015,"England","All sites excl. NMSC","Women","149779",553.2,553.566666666667
2016,"England","All sites excl. NMSC","Women","151117",551.6,550.366666666667
2017,"England","All sites excl. NMSC","Women","151621",546.3,549.533333333333
2018,"England","All sites excl. NMSC","Women","154668",550.7,550.866666666667
2000,"England","Breast","Women","34884",150.8,152.233333333333
2001,"England","Breast","Women","35597",152.7,151.8
2002,"England","Breast","Women","35541",151.9,154.8
2003,"England","Breast","Women","37656",159.8,157.2
2004,"England","Breast","Women","37916",159.9,160.833333333333
2005,"England","Breast","Women","38868",162.8,161.366666666667
2006,"England","Breast","Women","38897",161.4,161.333333333333
2007,"England","Breast","Women","38907",159.8,162.166666666667
2008,"England","Breast","Women","40754",165.3,162.633333333333
2009,"England","Breast","Women","40688",162.8,164.433333333333
2010,"England","Breast","Women","41786",165.2,164.033333333333
2011,"England","Breast","Women","41967",164.1,165.166666666667
2012,"England","Breast","Women","43138",166.2,167.2
2013,"England","Breast","Women","44966",171.3,170.566666666667
2014,"England","Breast","Women","46321",174.2,172.166666666667
2015,"England","Breast","Women","46009",171,171.333333333333
2016,"England","Breast","Women","45893",168.8,169.033333333333
2017,"England","Breast","Women","45967",167.3,169.466666666667
2018,"England","Breast","Women","47815",172.3,170.3
2000,"England","Colorectal","Men","15580",90,88.5333333333333
2001,"England","Colorectal","Men","15184",86.8,87.5
2002,"England","Colorectal","Men","15271",85.7,86.3666666666667
2003,"England","Colorectal","Men","15602",86.6,86.9
2004,"England","Colorectal","Men","16180",88.4,88
2005,"England","Colorectal","Men","16518",89,88.9666666666667
2006,"England","Colorectal","Men","16917",89.5,89.3666666666667
2007,"England","Colorectal","Men","17210",89.6,90.6666666666667
2008,"England","Colorectal","Men","18230",92.9,91.7
